1,0.12,0.10,0.16,0.46,0.12,0.12,0.51,0.55,0.35,0.08,N/A,N/A,0.08,0.04,0.01,0.10,0.20,0.48,0.68,N/A,0.10,N/A,0.47,0.34,0.53,0.12,0.04,0.55,0.05,0.08,0.51,0.10,N/A,N/A,0.02,0.11,0.28,0.50,0.10,0.46,0.53,0.00,0.48,0.54,0.11,0.03,0.56,0.36,0.06,0.49,0.52,N/A,0.48,0.07,0.06,0.46,0.48,0.04,0.52,N/A,0.04,N/A,0.75,0.53,0.10,0.07,0.05,0.50,0.60,0.03
0.12,1,0.12,0.23,0.09,0.03,-0.02,0.04,0.11,0.02,0.09,N/A,N/A,0.01,-0.03,0.11,0.01,-0.02,0.01,0.13,N/A,0.17,N/A,0.06,0.07,0.10,0.36,0.25,0.06,-0.01,-0.03,0.03,0.05,N/A,N/A,-0.01,0.10,-0.03,0.06,0.08,0.01,0.12,0.08,0.08,0.06,0.02,-0.00,0.10,0.02,0.06,0.05,0.07,N/A,0.05,-0.02,0.06,0.04,0.01,0.01,0.07,N/A,0.17,N/A,0.12,0.09,-0.02,0.00,0.14,0.05,0.12,0.01
0.10,0.12,1,0.04,0.60,0.09,0.01,0.08,0.08,0.03,0.02,N/A,N/A,0.11,0.00,0.04,0.13,0.04,0.06,0.13,N/A,0.13,N/A,0.05,0.10,0.08,0.15,0.09,0.05,0.04,-0.02,0.04,0.14,N/A,N/A,-0.00,0.05,0.05,0.07,0.18,0.08,0.07,0.01,0.05,0.07,0.04,-0.06,0.13,0.08,0.07,0.10,0.04,N/A,0.07,0.02,0.07,0.05,0.06,-0.01,0.04,N/A,0.04,N/A,0.11,0.06,0.45,-0.02,-0.03,0.05,0.13,-0.05
0.16,0.23,0.04,1,0.11,0.03,0.09,0.21,0.12,0.03,0.10,N/A,N/A,-0.01,-0.05,0.07,-0.02,0.10,0.16,0.10,N/A,-0.09,N/A,0.12,0.03,0.11,0.34,0.13,0.11,-0.07,0.12,0.12,0.08,N/A,N/A,-0.03,0.11,-0.00,0.10,0.11,0.22,0.18,0.05,0.18,0.13,0.00,0.03,0.16,0.20,0.11,0.14,0.13,N/A,0.12,0.04,0.11,0.09,0.12,-0.02,0.13,N/A,0.27,N/A,0.12,0.09,0.06,-0.00,-0.05,0.09,0.14,0.01
0.46,0.09,0.60,0.11,1,0.11,0.11,0.26,0.19,0.31,0.11,N/A,N/A,0.12,0.04,0.08,0.13,0.15,0.22,0.64,N/A,0.20,N/A,0.12,0.36,0.21,0.17,0.04,0.23,0.00,0.00,0.23,0.13,N/A,N/A,0.03,0.14,0.14,0.19,0.16,0.25,0.23,0.03,0.20,0.15,0.14,0.01,0.36,0.23,0.08,0.22,0.17,N/A,0.16,0.08,0.08,0.15,0.16,0.05,0.17,N/A,0.11,N/A,0.42,0.16,0.32,0.04,0.02,0.14,0.36,0.01
0.12,0.03,0.09,0.03,0.11,1,0.04,0.07,0.01,0.03,-0.02,N/A,N/A,0.72,-0.02,0.08,0.84,0.41,0.01,0.13,N/A,-0.05,N/A,-0.02,0.14,0.02,-0.04,0.01,0.04,-0.02,-0.00,0.04,0.82,N/A,N/A,-0.00,0.03,0.02,0.01,0.35,0.07,0.03,-0.02,0.02,-0.01,0.03,0.01,0.04,0.06,-0.00,-0.02,0.01,N/A,-0.00,0.05,-0.00,-0.01,0.00,-0.03,0.01,N/A,0.05,N/A,0.06,0.00,0.01,-0.02,-0.01,-0.02,0.04,0.02
0.12,-0.02,0.01,0.09,0.11,0.04,1,0.12,0.07,0.06,-0.02,N/A,N/A,0.00,0.01,0.01,0.05,0.04,0.03,0.16,N/A,-0.03,N/A,0.05,0.07,0.06,0.04,0.02,0.07,0.03,0.05,0.07,0.04,N/A,N/A,0.01,0.00,0.00,0.06,0.13,0.13,0.04,0.00,0.03,0.05,-0.01,0.03,0.09,0.08,-0.02,0.08,0.05,N/A,0.04,0.02,-0.02,0.05,0.05,0.02,0.05,N/A,0.07,N/A,0.11,0.05,0.01,0.01,-0.02,0.05,0.09,0.01
0.51,0.04,0.08,0.21,0.26,0.07,0.12,1,0.69,0.15,-0.03,N/A,N/A,0.05,0.07,0.05,0.06,0.18,0.66,0.39,N/A,0.01,N/A,0.69,0.14,0.68,0.09,0.00,0.72,-0.01,0.08,0.68,0.06,N/A,N/A,-0.01,0.05,0.20,0.70,0.02,0.97,0.68,-0.03,0.67,0.69,0.09,0.08,0.58,0.38,0.06,0.70,0.70,N/A,0.69,0.02,0.06,0.66,0.64,0.01,0.70,N/A,0.08,N/A,0.75,0.72,0.03,0.02,0.04,0.67,0.65,0.02
0.55,0.11,0.08,0.12,0.19,0.01,0.07,0.69,1,0.14,-0.01,N/A,N/A,0.01,0.03,0.04,0.02,0.09,0.80,0.28,N/A,0.09,N/A,0.87,0.11,0.94,0.10,0.03,0.77,0.04,0.08,0.75,0.03,N/A,N/A,-0.01,0.11,0.30,0.90,0.03,0.64,0.91,0.02,0.83,0.89,0.12,0.06,0.68,0.37,0.05,0.82,0.87,N/A,0.87,-0.00,0.05,0.85,0.86,-0.01,0.87,N/A,0.09,N/A,0.82,0.87,0.05,-0.02,0.05,0.86,0.73,-0.01
0.35,0.02,0.03,0.03,0.31,0.03,0.06,0.15,0.14,1,0.13,N/A,N/A,0.10,0.01,0.03,0.02,0.06,0.12,0.45,N/A,0.08,N/A,0.04,0.22,0.18,0.00,0.05,0.13,0.09,0.15,0.11,0.05,N/A,N/A,0.02,-0.00,0.05,0.12,0.04,0.13,0.15,0.04,0.09,0.08,0.04,0.07,0.20,0.14,0.05,0.12,0.06,N/A,0.08,0.07,0.05,0.06,0.11,0.08,0.06,N/A,-0.01,N/A,0.28,0.09,0.05,0.00,0.07,0.06,0.21,0.02
0.08,0.09,0.02,0.10,0.11,-0.02,-0.02,-0.03,-0.01,0.13,1,N/A,N/A,-0.02,-0.01,0.06,0.01,0.02,0.06,0.10,N/A,0.05,N/A,-0.04,0.00,0.01,0.01,0.02,-0.02,0.08,0.03,-0.02,0.01,N/A,N/A,-0.01,0.01,0.01,-0.01,-0.00,-0.03,0.01,0.03,-0.01,-0.02,0.13,0.09,-0.02,0.06,0.09,-0.02,-0.02,N/A,-0.03,-0.02,0.09,-0.02,-0.03,0.21,-0.02,N/A,0.05,N/A,0.02,-0.03,0.24,-0.05,0.02,-0.05,-0.02,0.03
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
