1,0.05,0.17,-0.00,0.18,0.12,-0.06,0.23,0.02,0.17,0.18,0.27,0.17,-0.00,0.08,0.19,0.07,0.12,0.01,0.14,0.08,0.24,0.19,0.17,0.13,0.19,0.14,0.05,0.20,-0.00
0.05,1,0.04,0.01,0.04,0.03,0.02,0.09,0.12,0.01,0.05,0.09,-0.02,0.03,0.04,0.04,-0.03,0.04,-0.00,0.03,0.07,0.10,0.06,0.11,-0.04,0.04,0.05,-0.09,0.04,0.03
0.17,0.04,1,0.27,0.39,0.26,0.14,0.59,0.17,0.31,0.55,0.49,0.34,0.16,0.51,0.48,0.22,0.27,0.11,0.55,0.38,0.55,0.78,0.55,0.22,0.53,0.19,0.20,0.44,0.16
-0.00,0.01,0.27,1,0.28,0.17,0.14,0.30,0.07,0.22,0.35,0.24,0.19,0.08,0.81,0.29,0.06,0.17,-0.05,0.24,0.21,0.32,0.28,0.29,0.13,0.32,0.07,-0.00,0.27,0.08
0.18,0.04,0.39,0.28,1,0.23,0.16,0.47,0.08,0.23,0.44,0.41,0.23,0.16,0.42,0.35,0.05,0.23,0.12,0.37,0.33,0.47,0.42,0.42,0.14,0.43,0.10,0.04,0.32,0.16
0.12,0.03,0.26,0.17,0.23,1,0.07,0.75,0.11,0.24,0.34,0.42,0.23,0.09,0.30,0.29,0.29,1.00,0.03,0.38,0.17,0.71,0.63,0.31,0.16,0.35,0.07,0.10,0.27,0.09
-0.06,0.02,0.14,0.14,0.16,0.07,1,0.15,0.11,0.04,0.20,0.15,0.07,0.06,0.20,0.10,0.08,0.08,0.08,0.12,0.14,0.16,0.14,0.19,0.04,0.20,0.04,-0.00,0.07,0.06
0.23,0.09,0.59,0.30,0.47,0.75,0.15,1,0.18,0.38,0.59,0.63,0.45,0.16,0.55,0.54,0.23,0.75,0.09,0.61,0.43,0.92,0.82,0.60,0.32,0.59,0.17,0.11,0.48,0.16
0.02,0.12,0.17,0.07,0.08,0.11,0.11,0.18,1,0.09,0.23,0.11,0.18,-0.02,0.15,0.12,0.04,0.12,0.00,0.12,0.03,0.17,0.18,0.09,0.16,0.23,-0.03,-0.01,0.14,-0.02
0.17,0.01,0.31,0.22,0.23,0.24,0.04,0.38,0.09,1,0.40,0.26,0.27,0.04,0.36,0.75,0.11,0.25,0.04,0.34,0.24,0.36,0.36,0.27,0.21,0.37,0.16,0.07,0.88,0.04
0.18,0.05,0.55,0.35,0.44,0.34,0.20,0.59,0.23,0.40,1,0.51,0.32,0.09,0.59,0.64,0.18,0.34,0.01,0.52,0.38,0.56,0.59,0.48,0.21,0.98,0.15,0.11,0.67,0.09
0.27,0.09,0.49,0.24,0.41,0.42,0.15,0.63,0.11,0.26,0.51,1,0.45,0.13,0.47,0.45,0.20,0.42,0.07,0.48,0.41,0.64,0.57,0.53,0.35,0.51,0.13,0.04,0.39,0.13
0.17,-0.02,0.34,0.19,0.23,0.23,0.07,0.45,0.18,0.27,0.32,0.45,1,0.06,0.34,0.40,0.07,0.22,0.07,0.34,0.26,0.41,0.36,0.35,0.98,0.31,0.08,0.12,0.33,0.06
