1,N/A,0.16,0.06,0.04,N/A,0.12,0.10,0.15,0.12,0.19,0.00,0.39,0.41,0.11,0.32,0.06,0.58
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.16,N/A,1,0.05,0.02,N/A,0.07,-0.01,0.03,0.16,0.08,-0.01,0.23,0.21,0.31,0.19,0.02,0.22
0.06,N/A,0.05,1,0.04,N/A,0.13,0.02,-0.03,0.08,0.03,0.02,-0.01,0.03,0.03,-0.02,-0.00,0.03
0.04,N/A,0.02,0.04,1,N/A,0.09,-0.08,0.02,-0.00,0.02,0.86,0.10,0.02,0.06,0.11,0.02,-0.03
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.12,N/A,0.07,0.13,0.09,N/A,1,0.01,-0.03,0.10,0.10,0.07,0.08,0.07,0.04,0.11,0.08,0.13
0.10,N/A,-0.01,0.02,-0.08,N/A,0.01,1,0.05,0.02,0.07,-0.04,0.03,0.10,0.01,0.07,-0.03,0.15
0.15,N/A,0.03,-0.03,0.02,N/A,-0.03,0.05,1,0.07,0.04,0.05,0.10,0.09,0.21,0.14,0.04,0.24
0.12,N/A,0.16,0.08,-0.00,N/A,0.10,0.02,0.07,1,0.02,-0.02,0.08,0.16,0.13,0.09,0.00,0.14
0.19,N/A,0.08,0.03,0.02,N/A,0.10,0.07,0.04,0.02,1,0.02,0.09,0.16,-0.02,0.10,0.13,0.26
0.00,N/A,-0.01,0.02,0.86,N/A,0.07,-0.04,0.05,-0.02,0.02,1,-0.00,0.01,0.02,0.04,0.04,-0.02
0.39,N/A,0.23,-0.01,0.10,N/A,0.08,0.03,0.10,0.08,0.09,-0.00,1,0.54,0.15,0.61,0.03,0.33
0.41,N/A,0.21,0.03,0.02,N/A,0.07,0.10,0.09,0.16,0.16,0.01,0.54,1,0.05,0.22,0.02,0.48
0.11,N/A,0.31,0.03,0.06,N/A,0.04,0.01,0.21,0.13,-0.02,0.02,0.15,0.05,1,0.20,-0.03,0.15
0.32,N/A,0.19,-0.02,0.11,N/A,0.11,0.07,0.14,0.09,0.10,0.04,0.61,0.22,0.20,1,0.05,0.29
0.06,N/A,0.02,-0.00,0.02,N/A,0.08,-0.03,0.04,0.00,0.13,0.04,0.03,0.02,-0.03,0.05,1,0.06
0.58,N/A,0.22,0.03,-0.03,N/A,0.13,0.15,0.24,0.14,0.26,-0.02,0.33,0.48,0.15,0.29,0.06,1
