1,0.50,0.69,0.76,0.67,0.79,0.90,0.83,0.85,0.83,0.40,0.48,0.78,0.18,0.14,0.88,0.35,0.61,0.20,0.35,0.52,0.29,0.94,0.57,0.58,0.72,0.30,0.82,0.76,0.82,0.30,0.19,0.99,0.17,0.85,0.40,0.29,0.26,0.82,0.95,0.92,0.95,0.47,0.14,0.73,0.23,0.49,0.66,0.21,0.46,0.41
0.50,1,0.42,0.59,0.39,0.52,0.55,0.55,0.53,0.55,0.27,0.30,0.51,0.07,0.07,0.56,0.21,0.39,0.16,0.21,0.47,0.15,0.40,0.52,0.35,0.55,0.20,0.51,0.40,0.49,0.14,0.12,0.52,0.17,0.56,0.27,0.22,0.27,0.57,0.42,0.59,0.55,0.32,0.14,0.42,0.10,0.36,0.50,0.22,0.27,0.26
0.69,0.42,1,0.67,0.61,0.65,0.72,0.71,0.69,0.68,0.40,0.43,0.77,0.19,0.16,0.71,0.38,0.51,0.30,0.30,0.46,0.34,0.44,0.59,0.57,0.59,0.28,0.70,0.60,0.63,0.29,0.14,0.67,0.33,0.68,0.38,0.26,0.22,0.72,0.72,0.69,0.73,0.36,0.06,0.62,0.14,0.40,0.54,0.24,0.37,0.34
0.76,0.59,0.67,1,0.64,0.74,0.80,0.80,0.81,0.79,0.34,0.36,0.73,0.14,0.09,0.85,0.39,0.60,0.18,0.30,0.63,0.18,0.61,0.46,0.55,0.78,0.24,0.86,0.70,0.71,0.10,0.07,0.78,0.12,0.85,0.35,0.30,0.13,0.76,0.72,0.82,0.72,0.41,0.08,0.65,0.19,0.36,0.69,0.13,0.50,0.31
0.67,0.39,0.61,0.64,1,0.67,0.75,0.66,0.74,0.63,0.47,0.63,0.66,0.09,0.19,0.72,0.36,0.56,0.24,0.33,0.41,0.28,0.47,0.63,0.62,0.58,0.11,0.62,0.62,0.61,0.09,0.17,0.64,0.16,0.70,0.44,0.34,0.24,0.72,0.61,0.70,0.73,0.44,0.11,0.71,0.13,0.55,0.52,0.16,0.37,0.51
0.79,0.52,0.65,0.74,0.67,1,0.83,0.83,0.83,0.82,0.35,0.47,0.74,0.18,0.09,0.87,0.29,0.56,0.36,0.34,0.50,0.32,0.50,0.51,0.58,0.71,0.17,0.78,0.75,0.92,0.14,0.12,0.81,0.18,0.84,0.41,0.36,0.25,0.79,0.65,0.83,0.78,0.51,0.24,0.66,0.19,0.49,0.71,0.12,0.37,0.41
0.90,0.55,0.72,0.80,0.75,0.83,1,0.85,0.92,0.87,0.47,0.51,0.81,0.27,0.18,0.94,0.34,0.62,0.30,0.39,0.58,0.30,0.69,0.59,0.74,0.75,0.21,0.84,0.77,0.81,0.20,0.14,0.90,0.11,0.88,0.42,0.31,0.19,0.86,0.85,0.92,0.88,0.53,0.10,0.80,0.23,0.51,0.72,0.16,0.49,0.45
0.83,0.55,0.71,0.80,0.66,0.83,0.85,1,0.85,0.86,0.36,0.42,0.79,0.13,0.13,0.91,0.36,0.59,0.25,0.36,0.51,0.32,0.53,0.55,0.59,0.83,0.22,0.84,0.85,0.77,0.12,0.09,0.85,0.27,0.95,0.39,0.28,0.24,0.83,0.74,0.90,0.81,0.43,0.11,0.71,0.24,0.51,0.71,0.22,0.45,0.37
0.85,0.53,0.69,0.81,0.74,0.83,0.92,0.85,1,0.89,0.47,0.53,0.78,0.08,0.14,0.95,0.30,0.57,0.28,0.35,0.59,0.27,0.56,0.53,0.69,0.74,0.22,0.83,0.77,0.79,0.25,0.12,0.86,0.16,0.87,0.39,0.31,0.17,0.85,0.72,0.90,0.83,0.54,0.12,0.76,0.24,0.49,0.69,0.13,0.37,0.45
0.83,0.55,0.68,0.79,0.63,0.82,0.87,0.86,0.89,1,0.37,0.44,0.78,0.08,0.14,0.92,0.34,0.57,0.24,0.48,0.57,0.37,0.54,0.51,0.63,0.76,0.29,0.82,0.78,0.77,0.26,0.11,0.83,0.18,0.88,0.39,0.32,0.30,0.83,0.77,0.86,0.80,0.55,0.20,0.69,0.23,0.51,0.68,0.24,0.38,0.38
