1,0.06,0.10,0.04,0.04,0.05,0.18,0.14,0.06,0.14,0.02,0.03,0.24,0.07,0.18,-0.04,0.24,0.25,0.12,0.04,0.22,0.16,0.21,0.06,0.09,0.08,0.06,0.10,0.15,0.15,-0.05,0.09,0.09,0.06,0.12,0.29,0.08,0.17,0.04,0.07,0.11,0.23,0.08,0.08,0.07,0.04,0.11,0.08,0.05,0.13,0.05,0.05,0.33,0.02,0.12,0.20,0.24,0.09,0.06,0.28,0.06
0.06,1,0.14,0.26,0.22,0.03,0.31,0.29,0.38,0.39,0.24,0.64,0.11,0.26,0.28,0.60,0.15,0.24,0.70,0.12,0.23,0.29,0.27,0.11,0.03,0.08,0.22,0.26,0.79,0.30,0.07,0.45,0.02,0.38,0.30,0.28,0.13,0.14,0.26,0.25,0.30,0.28,0.10,0.25,0.23,0.18,0.23,0.24,0.14,0.28,0.29,0.09,0.08,0.34,0.11,0.28,0.28,0.32,0.29,0.25,0.36
0.10,0.14,1,0.29,0.10,0.13,0.24,0.23,0.33,0.24,0.26,0.10,0.11,0.28,0.40,0.09,0.20,0.39,0.21,0.31,0.32,0.17,0.30,0.21,0.07,0.40,0.08,0.15,0.17,0.18,0.18,0.15,0.16,0.18,0.30,0.26,0.08,0.06,0.10,0.15,0.27,0.27,0.15,0.16,0.16,0.10,0.19,0.26,0.07,0.37,0.25,0.17,0.24,0.19,0.35,0.17,0.17,0.12,0.20,0.25,0.28
0.04,0.26,0.29,1,0.21,0.05,0.43,0.23,0.39,0.47,0.29,0.30,0.24,0.37,0.49,0.33,0.16,0.46,0.23,0.27,0.43,0.16,0.43,0.18,0.30,0.26,0.13,0.29,0.18,0.22,0.20,0.27,0.09,0.30,0.39,0.36,0.11,0.23,0.06,0.11,0.54,0.41,0.21,0.27,0.20,0.05,0.32,0.24,0.30,0.45,0.30,0.17,0.11,0.25,0.36,0.26,0.29,0.13,0.36,0.36,0.39
0.04,0.22,0.10,0.21,1,0.02,0.23,0.18,0.24,0.11,0.19,0.11,0.22,0.14,0.20,0.30,0.18,0.10,0.17,0.10,0.13,0.14,0.12,0.06,0.10,0.08,0.08,0.18,0.16,0.12,0.05,0.26,0.05,0.11,0.40,0.31,0.09,0.10,0.11,0.02,0.32,0.13,0.16,0.08,0.27,0.14,0.10,0.16,0.26,0.19,0.16,0.09,0.17,0.15,0.11,0.13,0.19,0.09,0.24,0.15,0.26
0.05,0.03,0.13,0.05,0.02,1,0.15,0.14,0.16,0.17,0.11,0.05,0.10,0.09,0.21,0.05,0.06,0.17,0.12,0.13,0.16,0.06,0.19,0.08,0.13,0.24,0.04,0.12,-0.10,0.05,0.04,0.04,0.02,0.08,0.18,0.22,0.08,0.09,0.11,0.14,0.10,0.14,0.09,0.09,0.07,0.05,0.12,0.05,0.08,0.17,0.10,0.32,0.19,0.11,0.16,0.04,0.05,0.07,0.22,0.12,0.10
0.18,0.31,0.24,0.43,0.23,0.15,1,0.39,0.55,0.36,0.35,0.30,0.14,0.45,0.48,0.36,0.34,0.32,0.52,0.23,0.29,0.29,0.28,0.09,0.13,0.19,0.20,0.38,0.12,0.33,0.16,0.35,0.10,0.36,0.28,0.44,0.11,0.25,0.23,0.30,0.29,0.31,0.31,0.34,0.26,0.13,0.49,0.37,0.20,0.42,0.35,0.49,0.20,0.30,0.31,0.25,0.22,0.34,0.44,0.26,0.47
0.14,0.29,0.23,0.23,0.18,0.14,0.39,1,0.38,0.37,0.39,0.28,0.14,0.57,0.38,0.29,0.14,0.30,0.30,0.19,0.32,0.19,0.29,0.08,0.10,0.21,0.10,0.36,0.13,0.73,0.11,0.26,0.12,0.29,0.25,0.36,0.04,0.47,0.13,0.22,0.23,0.30,0.24,0.25,0.44,0.30,0.26,0.34,0.12,0.37,0.38,0.14,0.14,0.35,0.30,0.39,0.31,0.55,0.40,0.28,0.42
0.06,0.38,0.33,0.39,0.24,0.16,0.55,0.38,1,0.47,0.38,0.52,0.13,0.60,0.61,0.60,0.27,0.47,0.51,0.37,0.48,0.25,0.46,0.10,0.11,0.39,0.29,0.35,0.24,0.33,0.05,0.46,0.15,0.45,0.42,0.42,0.08,0.20,0.13,0.19,0.49,0.49,0.37,0.45,0.33,0.21,0.34,0.37,0.36,0.58,0.53,0.38,0.19,0.35,0.46,0.19,0.52,0.15,0.43,0.44,0.56
0.14,0.39,0.24,0.47,0.11,0.17,0.36,0.37,0.47,1,0.34,0.38,0.11,0.52,0.64,0.46,0.16,0.52,0.36,0.33,0.52,0.27,0.47,0.17,0.15,0.33,0.17,0.37,0.26,0.27,0.12,0.34,0.18,0.38,0.45,0.49,0.17,0.33,0.23,0.21,0.48,0.50,0.23,0.37,0.25,0.17,0.41,0.28,0.19,0.62,0.38,0.25,0.21,0.40,0.46,0.23,0.28,0.23,0.37,0.46,0.60
0.02,0.24,0.26,0.29,0.19,0.11,0.35,0.39,0.38,0.34,1,0.40,0.19,0.39,0.38,0.30,0.16,0.28,0.19,0.16,0.35,0.28,0.32,0.16,0.11,0.23,0.09,0.35,0.11,0.38,0.17,0.21,0.02,0.30,0.26,0.30,0.03,0.07,0.13,0.27,0.23,0.35,0.21,0.25,0.40,0.13,0.29,0.96,0.17,0.43,0.45,0.09,0.14,0.52,0.28,0.16,0.25,0.30,0.82,0.31,0.45
0.03,0.64,0.10,0.30,0.11,0.05,0.30,0.28,0.52,0.38,0.40,1,0.23,0.36,0.31,0.68,0.09,0.19,0.70,0.20,0.20,0.24,0.21,0.04,0.15,0.19,0.23,0.25,0.58,0.27,0.11,0.61,0.06,0.42,0.19,0.28,0.15,0.17,0.21,0.20,0.44,0.21,0.26,0.32,0.26,0.07,0.20,0.36,0.21,0.27,0.41,0.19,0.19,0.32,0.15,0.58,0.15,0.25,0.43,0.18,0.40
0.24,0.11,0.11,0.24,0.22,0.10,0.14,0.14,0.13,0.11,0.19,0.23,1,0.16,0.27,0.16,0.18,0.27,0.06,0.08,0.09,0.18,0.09,0.20,0.30,0.13,0.04,0.17,0.11,0.13,0.14,0.10,0.09,0.10,0.29,0.73,0.24,0.11,0.07,0.22,0.25,0.11,0.16,0.06,0.12,0.04,0.10,0.23,0.27,0.24,0.17,0.09,0.66,0.18,0.17,0.06,0.16,0.23,0.10,0.12,0.21
0.07,0.26,0.28,0.37,0.14,0.09,0.45,0.57,0.60,0.52,0.39,0.36,0.16,1,0.70,0.37,0.25,0.46,0.37,0.36,0.71,0.33,0.63,0.10,0.12,0.41,0.17,0.49,0.15,0.63,0.07,0.30,0.13,0.49,0.46,0.46,0.18,0.49,0.12,0.14,0.39,0.65,0.22,0.32,0.31,0.15,0.41,0.38,0.18,0.59,0.39,0.31,0.18,0.40,0.43,0.33,0.30,0.24,0.43,0.64,0.56
0.18,0.28,0.40,0.49,0.20,0.21,0.48,0.38,0.61,0.64,0.38,0.31,0.27,0.70,1,0.43,0.35,0.67,0.38,0.49,0.65,0.38,0.63,0.17,0.23,0.53,0.26,0.53,0.16,0.40,0.17,0.35,0.18,0.40,0.55,0.61,0.16,0.14,0.30,0.25,0.47,0.62,0.27,0.37,0.40,0.21,0.49,0.35,0.22,0.81,0.43,0.27,0.33,0.36,0.61,0.22,0.51,0.33,0.42,0.59,0.67
-0.04,0.60,0.09,0.33,0.30,0.05,0.36,0.29,0.60,0.46,0.30,0.68,0.16,0.37,0.43,1,0.21,0.23,0.62,0.15,0.31,0.26,0.33,0.09,0.10,0.20,0.22,0.28,0.46,0.31,0.07,0.57,0.03,0.49,0.45,0.34,0.05,0.26,0.16,0.30,0.61,0.33,0.26,0.42,0.33,0.08,0.30,0.48,0.29,0.36,0.51,0.22,0.11,0.42,0.19,0.22,0.33,0.20,0.56,0.37,0.54
0.24,0.15,0.20,0.16,0.18,0.06,0.34,0.14,0.27,0.16,0.16,0.09,0.18,0.25,0.35,0.21,1,0.19,0.17,0.18,0.14,0.22,0.13,0.04,0.19,0.12,0.18,0.17,0.10,0.13,0.05,0.26,0.05,0.19,0.21,0.23,0.09,0.15,0.24,0.23,0.20,0.10,0.09,0.18,0.20,0.22,0.27,0.21,0.08,0.35,0.10,0.11,0.22,0.09,0.15,0.24,0.12,0.17,0.29,0.14,0.33
0.25,0.24,0.39,0.46,0.10,0.17,0.32,0.30,0.47,0.52,0.28,0.19,0.27,0.46,0.67,0.23,0.19,1,0.20,0.37,0.48,0.28,0.48,0.11,0.22,0.37,0.16,0.35,0.12,0.20,0.15,0.22,0.16,0.27,0.46,0.46,0.10,0.09,0.34,0.08,0.41,0.46,0.24,0.31,0.26,0.10,0.30,0.26,0.10,0.58,0.34,0.17,0.34,0.30,0.57,0.20,0.30,0.20,0.33,0.41,0.46
0.12,0.70,0.21,0.23,0.17,0.12,0.52,0.30,0.51,0.36,0.19,0.70,0.06,0.37,0.38,0.62,0.17,0.20,1,0.15,0.22,0.22,0.21,0.07,0.12,0.09,0.15,0.23,0.67,0.20,0.11,0.51,0.09,0.47,0.33,0.33,0.05,0.25,0.22,0.21,0.40,0.21,0.35,0.32,0.27,0.19,0.32,0.38,0.14,0.36,0.34,0.43,0.22,0.28,0.19,0.32,0.38,0.17,0.36,0.17,0.41
0.04,0.12,0.31,0.27,0.10,0.13,0.23,0.19,0.37,0.33,0.16,0.20,0.08,0.36,0.49,0.15,0.18,0.37,0.15,1,0.29,0.26,0.30,0.03,0.16,0.27,0.19,0.26,0.07,0.24,0.09,0.21,0.17,0.25,0.41,0.35,0.13,0.14,0.07,0.10,0.26,0.29,0.20,0.28,0.18,0.05,0.24,0.22,0.22,0.36,0.31,0.24,0.23,0.22,0.39,0.11,0.21,0.24,0.23,0.28,0.26
0.22,0.23,0.32,0.43,0.13,0.16,0.29,0.32,0.48,0.52,0.35,0.20,0.09,0.71,0.65,0.31,0.14,0.48,0.22,0.29,1,0.28,0.96,0.12,0.20,0.45,0.08,0.43,0.12,0.28,0.14,0.25,0.12,0.29,0.42,0.38,0.20,0.20,0.08,0.18,0.31,0.96,0.25,0.28,0.23,0.19,0.34,0.31,0.19,0.61,0.40,0.17,0.14,0.36,0.46,0.26,0.30,0.23,0.44,0.92,0.52
0.16,0.29,0.17,0.16,0.14,0.06,0.29,0.19,0.25,0.27,0.28,0.24,0.18,0.33,0.38,0.26,0.22,0.28,0.22,0.26,0.28,1,0.25,0.08,0.36,0.17,0.19,0.56,0.19,0.30,0.10,0.25,0.08,0.23,0.29,0.28,0.25,0.07,0.41,0.42,0.18,0.25,0.17,0.26,0.38,0.15,0.32,0.34,0.15,0.33,0.32,0.22,0.15,0.46,0.18,0.13,0.32,0.18,0.37,0.28,0.33
0.21,0.27,0.30,0.43,0.12,0.19,0.28,0.29,0.46,0.47,0.32,0.21,0.09,0.63,0.63,0.33,0.13,0.48,0.21,0.30,0.96,0.25,1,0.12,0.21,0.43,0.06,0.41,0.10,0.23,0.13,0.22,0.12,0.27,0.43,0.36,0.22,0.16,0.09,0.19,0.30,0.90,0.24,0.28,0.20,0.26,0.30,0.32,0.15,0.59,0.37,0.16,0.16,0.33,0.44,0.23,0.24,0.22,0.44,0.90,0.50
0.06,0.11,0.21,0.18,0.06,0.08,0.09,0.08,0.10,0.17,0.16,0.04,0.20,0.10,0.17,0.09,0.04,0.11,0.07,0.03,0.12,0.08,0.12,1,0.07,0.11,0.01,0.07,0.02,0.26,0.21,0.19,0.17,0.12,0.05,0.11,0.05,0.08,0.06,0.07,0.07,0.15,0.07,0.03,0.14,0.07,0.10,0.06,0.12,0.17,0.09,0.08,0.05,0.14,0.08,0.03,0.08,0.02,0.10,0.12,0.16
0.09,0.03,0.07,0.30,0.10,0.13,0.13,0.10,0.11,0.15,0.11,0.15,0.30,0.12,0.23,0.10,0.19,0.22,0.12,0.16,0.20,0.36,0.21,0.07,1,0.64,0.13,0.48,0.02,0.15,0.02,0.14,0.05,0.16,0.22,0.24,0.93,0.08,0.15,0.20,0.10,0.20,0.04,0.13,0.12,0.06,0.12,0.22,0.25,0.20,0.14,0.18,0.14,0.58,0.07,0.06,0.10,0.04,0.17,0.17,0.18
0.08,0.08,0.40,0.26,0.08,0.24,0.19,0.21,0.39,0.33,0.23,0.19,0.13,0.41,0.53,0.20,0.12,0.37,0.09,0.27,0.45,0.17,0.43,0.11,0.64,1,0.09,0.37,0.12,0.18,0.15,0.15,0.10,0.16,0.37,0.26,0.64,0.05,0.07,0.13,0.15,0.43,0.22,0.26,0.11,0.15,0.20,0.17,0.09,0.33,0.23,0.05,0.14,0.46,0.35,0.06,0.21,0.10,0.24,0.39,0.27
0.06,0.22,0.08,0.13,0.08,0.04,0.20,0.10,0.29,0.17,0.09,0.23,0.04,0.17,0.26,0.22,0.18,0.16,0.15,0.19,0.08,0.19,0.06,0.01,0.13,0.09,1,0.45,0.13,0.13,0.08,0.22,0.01,0.21,0.08,0.15,0.16,0.01,0.06,0.21,0.14,0.08,0.11,0.20,0.17,0.06,0.08,0.20,0.04,0.20,0.36,0.15,0.20,0.14,0.11,0.09,0.15,0.10,0.15,0.10,0.22
0.10,0.26,0.15,0.29,0.18,0.12,0.38,0.36,0.35,0.37,0.35,0.25,0.17,0.49,0.53,0.28,0.17,0.35,0.23,0.26,0.43,0.56,0.41,0.07,0.48,0.37,0.45,1,0.22,0.39,0.08,0.28,0.12,0.37,0.31,0.38,0.48,0.08,0.34,0.28,0.24,0.41,0.21,0.20,0.36,0.29,0.29,0.35,0.15,0.54,0.37,0.17,0.21,0.70,0.27,0.18,0.27,0.19,0.43,0.38,0.46
0.15,0.79,0.17,0.18,0.16,-0.10,0.12,0.13,0.24,0.26,0.11,0.58,0.11,0.15,0.16,0.46,0.10,0.12,0.67,0.07,0.12,0.19,0.10,0.02,0.02,0.12,0.13,0.22,1,0.30,0.03,0.45,0.09,0.18,0.17,0.10,0.03,0.13,0.06,0.08,0.29,0.14,0.10,0.13,0.06,0.05,0.27,0.18,0.14,0.15,0.25,0.06,0.06,0.23,0.05,0.18,0.19,0.04,0.18,0.12,0.21
