1,0.17,0.02,0.02,0.17,0.15,0.30,0.19,0.15,N/A,0.13,0.17,0.28,0.33,0.15,0.77,0.24,0.30,0.04,0.09,0.01,0.54,0.26,0.17,0.14,0.11,0.12,0.17,0.02,0.30,0.25,0.31,0.50,0.10,0.22,0.11,0.13,0.13,0.11,0.07,0.61,0.16,0.11,0.30,0.40,0.11,0.08,0.15,0.15,0.15,0.08,0.21,0.13,0.10,0.07,0.09,0.17,0.04,0.71,0.81,0.10,0.13,0.29,0.20,0.11
0.17,1,0.20,0.07,0.12,0.46,0.24,0.23,0.34,N/A,0.23,0.10,0.17,0.32,0.20,0.18,0.45,0.19,-0.01,0.20,0.07,0.22,0.10,0.40,0.13,0.31,0.16,0.24,0.25,0.25,0.32,0.20,0.22,0.25,0.26,0.26,0.20,0.31,0.28,0.18,0.20,0.13,0.14,0.19,0.24,0.18,0.07,0.09,0.28,0.32,0.24,0.09,0.18,0.25,0.06,0.16,0.15,0.21,0.18,0.15,0.22,0.28,0.24,0.29,0.27
0.02,0.20,1,-0.01,0.00,0.12,0.05,0.01,0.28,N/A,0.16,0.02,-0.03,0.08,0.03,0.03,0.20,0.04,0.01,-0.01,0.00,-0.00,0.02,0.06,0.00,0.10,0.01,-0.00,0.34,0.09,0.16,0.04,0.05,0.30,0.06,0.20,0.03,0.17,0.14,0.02,0.03,-0.01,0.11,0.04,0.07,0.03,0.02,0.06,0.10,0.23,0.14,-0.01,0.00,0.02,-0.02,0.02,0.06,0.05,0.04,0.04,0.19,0.05,0.26,0.17,0.04
0.02,0.07,-0.01,1,0.00,0.05,0.09,0.03,-0.01,N/A,0.03,-0.03,0.15,0.11,0.07,0.06,0.07,0.06,0.00,0.01,-0.04,0.03,0.12,0.00,-0.00,-0.06,-0.08,0.03,-0.04,0.01,0.02,0.02,0.09,0.01,0.09,0.01,-0.01,-0.02,0.01,0.01,0.03,0.00,-0.01,0.06,0.08,0.01,-0.04,0.00,-0.02,-0.04,-0.04,0.06,0.01,0.05,-0.01,0.03,0.04,-0.02,0.04,-0.02,-0.00,-0.02,-0.01,-0.00,-0.01
0.17,0.12,0.00,0.00,1,0.16,0.17,0.08,0.15,N/A,0.31,0.38,0.13,0.25,0.18,0.13,0.20,0.15,0.03,0.07,0.16,0.12,0.13,0.14,0.15,0.13,0.01,0.19,0.09,0.18,0.19,0.20,0.15,0.12,0.18,0.13,0.06,0.26,0.03,0.10,0.12,0.48,0.02,0.15,0.19,0.05,0.16,0.39,0.21,0.14,0.08,0.15,0.10,0.12,0.07,0.15,0.18,0.09,0.09,0.07,0.16,0.19,0.17,0.20,0.20
0.15,0.46,0.12,0.05,0.16,1,0.28,0.26,0.33,N/A,0.26,0.10,0.15,0.43,0.21,0.18,0.45,0.20,0.00,0.10,0.16,0.26,0.08,0.49,0.19,0.39,0.14,0.28,0.22,0.26,0.34,0.24,0.22,0.29,0.29,0.26,0.26,0.32,0.23,0.26,0.18,0.14,0.07,0.20,0.37,0.22,0.01,0.07,0.41,0.18,0.21,0.05,0.13,0.20,0.13,0.31,0.24,0.18,0.15,0.15,0.14,0.40,0.29,0.42,0.31
0.30,0.24,0.05,0.09,0.17,0.28,1,0.23,0.28,N/A,0.28,0.21,0.41,0.42,0.37,0.34,0.34,0.22,0.09,0.17,0.09,0.25,0.31,0.23,0.30,0.29,0.12,0.28,0.15,0.46,0.39,0.35,0.29,0.20,0.42,0.18,0.27,0.32,0.20,0.23,0.26,0.20,0.18,0.22,0.52,0.25,0.15,0.26,0.31,0.21,0.17,0.31,0.13,0.19,0.25,0.38,0.21,0.14,0.29,0.34,0.22,0.37,0.31,0.31,0.30
0.19,0.23,0.01,0.03,0.08,0.26,0.23,1,0.21,N/A,0.13,0.04,0.19,0.23,0.19,0.22,0.14,0.19,0.01,0.09,0.18,0.25,0.12,0.23,0.10,0.29,0.14,0.29,0.04,0.26,0.18,0.14,0.37,0.20,0.17,0.24,0.08,0.16,0.08,0.21,0.21,0.17,0.05,0.19,0.20,0.10,0.26,0.13,0.21,0.20,0.20,0.06,0.17,0.23,0.08,0.12,0.15,0.06,0.19,0.15,0.19,0.22,0.13,0.20,0.15
0.15,0.34,0.28,-0.01,0.15,0.33,0.28,0.21,1,N/A,0.24,0.14,0.11,0.34,0.14,0.19,0.32,0.23,0.00,0.09,0.06,0.21,0.17,0.37,0.11,0.32,0.07,0.28,0.23,0.26,0.39,0.26,0.22,0.40,0.28,0.20,0.13,0.26,0.13,0.15,0.21,0.17,0.03,0.23,0.28,0.19,-0.02,0.09,0.38,0.36,0.35,0.08,0.17,0.21,0.05,0.21,0.14,0.13,0.19,0.19,0.22,0.34,0.32,0.43,0.33
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.13,0.23,0.16,0.03,0.31,0.26,0.28,0.13,0.24,N/A,1,0.05,0.20,0.33,0.25,0.17,0.31,0.26,0.03,0.11,0.03,0.12,0.07,0.35,0.17,0.22,0.13,0.28,0.27,0.28,0.26,0.21,0.19,0.23,0.31,0.14,0.09,0.27,0.22,0.18,0.10,0.11,0.07,0.26,0.28,0.12,0.05,0.16,0.31,0.23,0.18,0.15,0.02,0.08,0.27,0.28,0.22,0.08,0.10,0.05,0.13,0.29,0.26,0.27,0.27
