1,0.18,0.22,0.05,0.25,0.19,0.28,0.18,0.20,0.10,0.25,0.33,0.10,0.10,0.95,0.14,0.29,0.37,0.22,-0.01,0.30,0.18,0.10,0.10,0.14,0.06,0.18,0.23,0.08,0.30,0.33,0.03,0.05,N/A,0.02,0.17,0.12,0.28,0.08,0.02,0.36,0.13,-0.00,0.24,0.09,0.27,0.85
0.18,1,0.15,0.02,0.35,0.16,0.26,0.17,0.27,0.04,0.18,0.40,0.04,0.03,0.17,0.20,0.42,0.39,0.12,0.01,0.36,0.12,0.02,0.10,0.10,0.04,0.13,0.16,0.10,0.30,0.32,-0.01,0.03,N/A,0.04,0.06,0.01,0.05,0.09,0.05,0.38,0.07,0.01,0.24,0.02,0.14,0.23
0.22,0.15,1,-0.01,0.23,0.08,0.07,0.25,0.18,0.07,0.17,0.20,0.07,0.20,0.17,-0.00,0.26,0.19,0.09,-0.02,0.14,0.11,0.06,0.11,0.12,0.13,0.07,0.07,0.06,0.16,0.15,0.02,-0.05,N/A,0.05,0.10,0.02,0.10,0.09,0.03,0.32,0.01,0.01,0.15,0.03,0.11,0.23
0.05,0.02,-0.01,1,0.16,0.05,0.23,0.02,0.03,0.01,0.10,0.11,0.01,0.01,0.04,0.06,0.10,0.17,0.06,-0.00,0.11,-0.01,0.01,0.00,0.04,0.08,0.44,0.00,0.04,0.13,0.13,0.02,0.07,N/A,0.02,0.01,0.00,0.58,0.01,0.01,0.10,0.01,0.02,0.04,0.01,0.05,0.06
0.25,0.35,0.23,0.16,1,0.14,0.33,0.26,0.24,0.08,0.30,0.54,0.05,0.29,0.23,0.20,0.93,0.41,0.15,0.03,0.39,0.21,0.27,0.19,0.17,0.10,0.19,0.39,0.41,0.46,0.42,0.26,0.06,N/A,0.14,0.08,0.03,0.21,0.19,0.20,0.47,0.16,0.07,0.24,0.30,0.22,0.33
0.19,0.16,0.08,0.05,0.14,1,0.36,0.20,0.35,0.04,0.23,0.28,0.05,0.15,0.20,0.16,0.21,0.33,0.28,0.02,0.28,0.05,0.07,-0.00,0.10,0.17,0.24,0.10,0.12,0.27,0.29,0.11,-0.03,N/A,0.04,0.08,0.05,0.07,0.28,0.02,0.31,0.03,0.02,0.38,0.07,0.31,0.35
0.28,0.26,0.07,0.23,0.33,0.36,1,0.27,0.27,0.18,0.22,0.37,0.01,0.14,0.28,0.19,0.37,0.39,0.28,0.01,0.38,0.09,0.21,0.08,0.17,0.18,0.21,0.19,0.17,0.32,0.33,0.10,0.07,N/A,0.13,0.05,0.14,0.20,0.13,0.06,0.40,0.16,0.01,0.29,0.17,0.31,0.40
0.18,0.17,0.25,0.02,0.26,0.20,0.27,1,0.24,0.18,0.36,0.31,0.04,0.18,0.18,0.17,0.31,0.31,0.19,0.02,0.35,0.18,0.07,0.04,0.06,0.17,0.13,0.17,0.08,0.32,0.23,0.06,0.01,N/A,0.06,0.08,0.19,0.13,0.09,-0.01,0.35,0.05,0.01,0.20,0.05,0.22,0.27
0.20,0.27,0.18,0.03,0.24,0.35,0.27,0.24,1,0.06,0.30,0.42,0.12,0.13,0.21,0.12,0.35,0.44,0.27,0.06,0.43,0.13,0.04,0.09,0.08,0.17,0.24,0.28,0.20,0.38,0.38,0.02,0.03,N/A,0.09,0.01,0.02,0.10,0.22,0.06,0.42,0.04,-0.00,0.34,0.06,0.31,0.33
0.10,0.04,0.07,0.01,0.08,0.04,0.18,0.18,0.06,1,0.16,0.09,0.00,0.01,0.09,0.01,0.10,0.14,0.02,0.02,0.12,0.05,0.26,-0.02,0.09,-0.01,0.00,0.04,-0.03,0.12,0.11,-0.02,0.09,N/A,0.00,0.02,0.56,0.03,0.01,-0.06,0.11,-0.02,0.01,0.11,0.02,0.21,0.10
0.25,0.18,0.17,0.10,0.30,0.23,0.22,0.36,0.30,0.16,1,0.34,0.16,0.12,0.25,0.04,0.34,0.40,0.18,0.04,0.39,0.18,0.05,0.15,0.09,0.18,0.19,0.25,0.23,0.34,0.37,0.05,0.10,N/A,0.14,0.06,0.24,0.18,0.18,0.15,0.40,0.11,0.12,0.34,0.06,0.32,0.27
0.33,0.40,0.20,0.11,0.54,0.28,0.37,0.31,0.42,0.09,0.34,1,0.11,0.40,0.29,0.18,0.63,0.75,0.27,0.10,0.77,0.29,0.42,0.19,0.29,0.16,0.21,0.52,0.43,0.82,0.71,0.27,0.10,N/A,0.09,0.09,0.05,0.22,0.29,0.20,0.81,0.34,0.06,0.41,0.48,0.33,0.42
0.10,0.04,0.07,0.01,0.05,0.05,0.01,0.04,0.12,0.00,0.16,0.11,1,0.02,0.10,0.02,0.08,0.08,0.03,0.00,0.08,0.08,0.01,0.08,-0.02,0.10,0.02,0.01,0.01,0.05,0.06,0.03,-0.04,N/A,-0.03,-0.05,0.02,0.01,-0.01,-0.03,0.08,0.01,0.00,0.08,0.00,0.18,0.13
0.10,0.03,0.20,0.01,0.29,0.15,0.14,0.18,0.13,0.01,0.12,0.40,0.02,1,0.08,0.02,0.28,0.18,0.18,0.05,0.23,0.04,0.61,0.10,0.03,0.02,0.05,0.27,0.29,0.51,0.19,0.51,-0.02,N/A,0.03,0.08,0.01,0.03,0.12,0.13,0.32,0.27,-0.01,0.09,0.64,0.14,0.15
0.95,0.17,0.17,0.04,0.23,0.20,0.28,0.18,0.21,0.09,0.25,0.29,0.10,0.08,1,0.12,0.28,0.35,0.25,-0.00,0.27,0.15,0.08,0.10,0.13,0.05,0.23,0.19,0.07,0.30,0.32,0.03,0.04,N/A,0.03,0.15,0.10,0.28,0.07,0.01,0.32,0.11,-0.00,0.23,0.07,0.25,0.82
0.14,0.20,-0.00,0.06,0.20,0.16,0.19,0.17,0.12,0.01,0.04,0.18,0.02,0.02,0.12,1,0.22,0.15,0.04,-0.01,0.12,0.02,0.03,0.04,0.05,0.03,0.17,0.14,0.18,0.12,0.15,0.02,0.01,N/A,0.01,0.01,0.00,0.09,0.15,0.01,0.19,-0.00,0.01,0.19,0.02,0.16,0.24
