1,0.21,0.01,0.01,0.14,0.12,0.02,0.10,0.21,0.22,0.23,N/A,0.07,-0.02,0.01,0.15,0.27,0.07,0.21,0.10,0.00,0.13,0.03,0.26,0.01,0.10,0.13,0.12,0.08,0.19,0.01,0.09,0.12,0.16,0.19,0.18,0.26,0.09,0.01,0.21,0.17,0.14,0.20,0.01,0.03,0.23,0.32,0.26,0.08,N/A,0.00,0.02,0.26,0.22,0.12,0.19,-0.01
0.21,1,0.05,0.13,0.34,0.26,0.15,0.18,0.15,0.19,0.76,N/A,0.15,0.24,0.05,0.11,0.27,0.12,0.78,0.21,0.19,0.23,0.11,0.29,0.11,0.25,0.28,0.30,0.24,0.70,0.12,0.20,0.25,0.15,0.08,0.75,0.29,0.20,0.15,0.36,0.26,0.19,0.38,0.15,0.21,0.80,0.13,0.66,0.19,N/A,0.04,0.07,0.09,0.35,0.17,0.79,0.14
0.01,0.05,1,0.01,0.02,0.02,0.01,0.00,0.01,0.01,0.06,N/A,0.00,0.00,0.01,-0.02,0.02,0.00,0.11,0.00,0.01,-0.01,0.02,0.13,0.01,0.01,-0.01,0.16,0.03,0.04,0.00,0.01,0.19,-0.01,0.01,0.04,0.13,0.03,-0.00,0.09,0.17,0.20,0.01,-0.00,0.00,0.05,0.01,0.06,0.04,N/A,0.02,0.30,0.00,0.13,0.26,0.04,0.04
0.01,0.13,0.01,1,-0.00,0.05,0.58,0.01,0.05,0.00,0.34,N/A,-0.01,0.05,0.03,-0.00,0.05,0.09,0.19,0.06,0.70,-0.00,0.01,0.15,0.79,0.15,0.02,0.21,0.34,0.08,0.74,0.58,0.02,0.00,0.02,0.46,0.01,0.08,-0.02,0.29,0.09,0.14,0.05,0.57,-0.01,0.21,-0.00,0.04,0.01,N/A,0.43,-0.00,0.10,0.10,0.00,0.12,0.70
0.14,0.34,0.02,-0.00,1,0.27,0.07,0.18,0.24,0.33,0.23,N/A,0.06,0.04,0.14,0.06,0.35,0.29,0.21,0.07,0.01,0.12,0.16,0.26,0.01,0.28,0.18,0.16,-0.02,0.19,0.07,0.04,0.09,0.03,0.02,0.14,0.21,0.08,0.06,0.28,0.21,0.13,0.38,0.10,0.37,0.32,0.26,0.31,0.02,N/A,0.01,0.02,-0.00,0.20,0.09,0.25,-0.00
0.12,0.26,0.02,0.05,0.27,1,0.07,0.11,0.05,0.33,0.25,N/A,0.01,0.05,-0.01,0.03,0.25,0.01,0.17,0.08,0.06,0.08,0.04,0.06,0.04,0.22,0.16,0.08,0.09,0.20,0.10,0.09,0.03,0.02,0.02,0.17,0.10,0.06,0.03,0.22,0.08,0.02,0.12,0.05,0.44,0.24,0.08,0.18,0.00,N/A,0.01,0.04,0.02,0.13,0.03,0.19,0.07
0.02,0.15,0.01,0.58,0.07,0.07,1,0.01,0.27,0.02,0.31,N/A,-0.01,0.12,0.08,0.04,0.04,0.09,0.21,0.06,0.48,0.01,0.04,0.15,0.53,0.16,0.06,0.20,0.34,0.19,0.49,0.43,0.07,0.08,0.04,0.38,0.01,0.09,0.10,0.21,0.11,0.04,0.10,0.59,0.17,0.26,0.02,0.12,0.05,N/A,0.03,0.02,0.13,0.12,-0.00,0.18,0.48
0.10,0.18,0.00,0.01,0.18,0.11,0.01,1,0.02,0.05,0.17,N/A,0.00,0.07,0.00,0.29,0.05,0.24,0.21,-0.01,0.03,0.20,0.01,0.18,0.01,0.07,0.08,0.22,0.01,0.11,0.02,0.04,0.12,0.13,0.00,0.14,0.23,0.07,0.16,0.15,0.06,0.18,0.07,0.04,0.07,0.17,0.06,0.18,0.05,N/A,-0.01,0.13,0.30,0.10,0.00,0.17,0.04
0.21,0.15,0.01,0.05,0.24,0.05,0.27,0.02,1,0.27,0.10,N/A,0.01,0.02,0.01,0.02,0.24,-0.00,0.09,0.01,0.07,0.00,-0.01,0.20,0.06,0.02,0.04,0.05,0.08,0.12,0.05,0.07,0.08,0.00,-0.01,0.10,0.11,0.05,0.02,0.03,0.19,0.00,0.06,0.30,0.24,0.38,0.47,0.09,0.02,N/A,0.01,0.02,0.01,0.18,0.03,0.16,0.05
0.22,0.19,0.01,0.00,0.33,0.33,0.02,0.05,0.27,1,0.17,N/A,0.05,0.06,-0.02,0.03,0.32,0.07,0.15,0.14,0.03,0.04,0.00,0.09,0.01,0.19,0.04,0.09,0.04,0.14,0.04,0.03,0.09,0.01,0.01,0.12,0.17,0.13,0.01,0.24,0.13,0.05,0.12,0.02,0.34,0.25,0.44,0.14,0.01,N/A,-0.01,0.01,0.01,0.11,0.01,0.14,0.03
0.23,0.76,0.06,0.34,0.23,0.25,0.31,0.17,0.10,0.17,1,N/A,0.19,0.25,0.07,0.11,0.24,0.14,0.75,0.25,0.43,0.28,0.15,0.28,0.39,0.25,0.24,0.35,0.34,0.63,0.41,0.38,0.32,0.16,0.07,0.79,0.25,0.20,0.11,0.50,0.30,0.23,0.42,0.38,0.21,0.72,0.09,0.58,0.22,N/A,0.03,0.09,0.08,0.36,0.18,0.70,0.42
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
