1,0.40,0.24,0.35,0.31,0.30,0.24,0.28,N/A,0.27,0.28,0.14,0.20,0.43,0.04,-0.01,0.24,0.24,0.16,0.22,0.08,0.12,0.17,0.24,0.21,0.30,0.21,0.26,0.29,0.03,0.29,0.05,0.24,0.08
0.40,1,0.60,0.68,0.68,0.60,0.60,0.62,N/A,0.63,0.63,0.37,0.48,0.56,0.21,0.02,0.45,0.33,0.45,0.47,0.28,0.39,0.36,0.44,0.43,0.53,0.39,0.64,0.63,0.02,0.51,0.24,0.58,0.27
0.24,0.60,1,0.84,0.77,0.70,0.48,0.82,N/A,0.83,0.80,0.44,0.39,0.40,0.17,0.06,0.46,0.31,0.52,0.60,0.51,0.42,0.55,0.40,0.43,0.50,0.57,0.86,0.85,0.08,0.36,0.32,0.79,0.33
0.35,0.68,0.84,1,0.83,0.72,0.51,0.84,N/A,0.87,0.84,0.45,0.45,0.42,0.18,0.08,0.49,0.37,0.51,0.59,0.51,0.43,0.56,0.41,0.50,0.57,0.54,0.88,0.90,0.06,0.42,0.33,0.80,0.35
0.31,0.68,0.77,0.83,1,0.70,0.54,0.78,N/A,0.83,0.76,0.46,0.43,0.49,0.21,0.03,0.53,0.34,0.50,0.59,0.50,0.45,0.51,0.36,0.47,0.56,0.49,0.79,0.82,0.09,0.42,0.31,0.75,0.33
0.30,0.60,0.70,0.72,0.70,1,0.47,0.69,N/A,0.77,0.68,0.37,0.42,0.41,0.23,0.04,0.42,0.35,0.45,0.56,0.44,0.41,0.45,0.29,0.49,0.52,0.48,0.72,0.73,0.06,0.38,0.34,0.66,0.29
0.24,0.60,0.48,0.51,0.54,0.47,1,0.49,N/A,0.50,0.51,0.25,0.45,0.40,0.18,0.01,0.39,0.28,0.35,0.43,0.27,0.28,0.28,0.35,0.33,0.31,0.36,0.50,0.50,0.02,0.54,0.17,0.50,0.24
0.28,0.62,0.82,0.84,0.78,0.69,0.49,1,N/A,0.83,0.82,0.41,0.39,0.39,0.15,0.09,0.47,0.36,0.49,0.58,0.53,0.42,0.50,0.30,0.46,0.54,0.54,0.89,0.84,0.07,0.38,0.28,0.80,0.30
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.27,0.63,0.83,0.87,0.83,0.77,0.50,0.83,N/A,1,0.80,0.47,0.43,0.41,0.20,0.05,0.47,0.34,0.51,0.61,0.54,0.44,0.52,0.33,0.49,0.56,0.53,0.85,0.85,0.10,0.36,0.36,0.81,0.34
0.28,0.63,0.80,0.84,0.76,0.68,0.51,0.82,N/A,0.80,1,0.40,0.43,0.37,0.16,0.09,0.43,0.30,0.51,0.57,0.49,0.45,0.48,0.34,0.52,0.50,0.54,0.84,0.81,0.04,0.43,0.27,0.82,0.27
0.14,0.37,0.44,0.45,0.46,0.37,0.25,0.41,N/A,0.47,0.40,1,0.16,0.16,0.09,0.02,0.30,0.20,0.31,0.37,0.29,0.23,0.29,0.23,0.26,0.34,0.26,0.46,0.49,0.07,0.21,0.33,0.43,0.14
0.20,0.48,0.39,0.45,0.43,0.42,0.45,0.39,N/A,0.43,0.43,0.16,1,0.42,0.13,-0.00,0.39,0.26,0.28,0.26,0.17,0.26,0.25,0.46,0.25,0.34,0.26,0.37,0.39,0.06,0.38,0.13,0.36,0.16
