1,0.11,0.41,0.19,0.15,0.13,0.15,0.10,0.01,0.15,0.16,0.34,0.19,0.12,0.13,0.05,0.41,0.27,0.12,0.11,0.46,0.15,N/A,0.08,0.36,0.41,0.49,0.21,0.34,0.07,0.22,0.20,0.17,0.23,0.20,0.25,0.39,0.47,0.23,0.14,0.11,0.27
0.11,1,0.40,0.03,0.08,0.08,0.17,0.02,0.09,-0.01,0.23,0.24,0.34,0.10,0.19,0.02,0.19,0.43,0.04,0.00,0.29,0.12,N/A,0.16,0.14,0.24,0.33,0.19,0.12,0.17,0.05,0.10,0.12,0.26,0.11,0.03,0.26,0.36,0.26,0.07,0.22,0.06
0.41,0.40,1,0.22,0.22,0.14,0.29,0.07,0.14,0.10,0.32,0.40,0.53,0.18,0.23,0.13,0.47,0.56,0.16,0.12,0.61,0.25,N/A,0.26,0.30,0.40,0.82,0.27,0.29,0.25,0.24,0.30,0.23,0.38,0.22,0.09,0.49,0.64,0.38,0.14,0.42,0.29
0.19,0.03,0.22,1,0.16,0.00,0.00,0.03,0.02,0.02,0.28,0.17,0.06,0.07,0.10,0.21,0.33,0.14,0.20,0.19,0.39,0.13,N/A,0.10,0.17,0.20,0.36,0.21,0.12,0.09,0.18,0.20,0.14,0.30,0.25,0.04,0.31,0.30,0.30,0.18,0.14,0.20
0.15,0.08,0.22,0.16,1,0.03,0.18,0.01,0.11,0.00,0.09,0.14,0.08,0.00,0.06,0.06,0.29,0.14,0.24,0.10,0.30,0.10,N/A,0.17,0.14,0.18,0.32,0.06,0.11,0.07,0.10,0.17,0.12,0.11,0.08,0.02,0.33,0.35,0.11,0.65,0.10,0.17
0.13,0.08,0.14,0.00,0.03,1,0.05,-0.03,0.02,0.01,0.04,0.13,0.10,0.19,0.07,0.04,0.07,0.16,0.05,-0.01,0.13,0.04,N/A,0.08,0.23,0.05,0.12,0.02,0.02,0.04,0.02,0.01,-0.00,0.04,-0.00,0.03,0.04,0.09,0.04,0.01,0.06,0.02
0.15,0.17,0.29,0.00,0.18,0.05,1,0.00,0.02,0.40,0.21,0.27,0.16,0.17,0.07,0.05,0.18,0.30,0.03,0.01,0.20,0.19,N/A,0.14,0.19,0.09,0.28,0.14,0.18,0.10,0.06,0.15,0.05,0.07,0.06,0.06,0.23,0.31,0.07,0.07,0.22,0.31
0.10,0.02,0.07,0.03,0.01,-0.03,0.00,1,0.16,-0.01,0.06,0.06,0.05,-0.01,0.05,0.00,0.11,0.10,-0.03,-0.01,0.17,0.03,N/A,0.03,0.01,0.07,0.09,0.03,0.09,0.44,0.00,0.11,0.09,0.14,0.02,0.01,0.13,0.18,0.14,0.01,0.09,0.05
0.01,0.09,0.14,0.02,0.11,0.02,0.02,0.16,1,0.01,0.19,0.04,0.08,-0.02,0.02,-0.00,0.06,0.08,-0.01,0.00,0.15,-0.00,N/A,-0.02,0.02,0.05,0.12,0.02,-0.00,0.15,0.03,0.13,0.03,0.25,0.04,-0.01,0.12,0.16,0.25,0.12,0.23,0.08
0.15,-0.01,0.10,0.02,0.00,0.01,0.40,-0.01,0.01,1,0.00,0.10,0.03,-0.00,-0.01,0.02,0.05,0.04,0.03,-0.00,0.05,0.01,N/A,0.04,0.00,0.03,0.07,0.04,0.33,-0.01,0.02,0.01,0.03,0.02,0.00,0.02,0.07,0.08,0.02,0.01,0.03,0.18
