1,0.09,0.26,0.08,0.33,0.20,0.02,0.13,0.31,0.10,0.20,0.23,0.31,0.25,0.31,0.26,0.32,0.28,0.25,0.33,0.15,0.30,0.29,0.13,0.09,0.30,0.27,0.24,0.04,0.12,0.30,0.26,0.15,0.06,0.32,0.26,0.29,0.26,0.33,0.16,N/A,0.16,0.25,0.33,0.34,0.19,0.30,0.33,-0.01,0.31,0.31,0.25,0.22
0.09,1,0.31,0.08,0.18,0.20,0.04,0.02,0.20,0.07,0.24,0.12,0.27,0.30,0.17,0.22,0.27,0.21,0.15,0.24,0.18,0.24,0.30,0.04,0.26,0.30,0.26,0.08,0.02,0.09,0.28,0.19,0.08,0.13,0.21,0.23,0.24,0.30,0.16,0.02,N/A,0.11,0.21,0.29,0.28,0.10,0.19,0.25,0.08,0.28,0.26,0.09,0.16
0.26,0.31,1,0.20,0.38,0.38,0.10,0.43,0.67,0.45,0.83,0.45,0.72,0.92,0.57,0.71,0.70,0.57,0.36,0.74,0.45,0.65,0.94,0.27,0.24,0.91,0.60,0.42,0.18,0.22,0.88,0.44,0.36,0.26,0.68,0.77,0.70,0.89,0.58,0.10,N/A,0.32,0.40,0.72,0.87,0.22,0.49,0.79,0.13,0.85,0.70,0.21,0.39
0.08,0.08,0.20,1,0.17,0.11,0.02,0.04,0.20,0.15,0.20,0.18,0.24,0.19,0.22,0.20,0.24,0.22,0.26,0.27,0.14,0.21,0.23,0.11,0.13,0.21,0.23,0.21,0.05,0.03,0.22,0.13,0.21,0.09,0.26,0.21,0.25,0.19,0.21,0.01,N/A,0.19,0.20,0.24,0.24,0.10,0.23,0.26,0.04,0.24,0.25,0.14,0.20
0.33,0.18,0.38,0.17,1,0.29,0.10,0.21,0.39,0.26,0.37,0.33,0.46,0.39,0.45,0.40,0.46,0.49,0.35,0.49,0.34,0.45,0.43,0.29,0.18,0.41,0.43,0.29,0.04,0.14,0.45,0.54,0.22,0.22,0.48,0.39,0.48,0.40,0.49,0.09,N/A,0.27,0.34,0.44,0.47,0.18,0.44,0.51,0.07,0.46,0.50,0.30,0.34
0.20,0.20,0.38,0.11,0.29,1,0.20,0.19,0.41,0.21,0.37,0.44,0.37,0.39,0.35,0.43,0.39,0.34,0.40,0.40,0.40,0.36,0.40,0.26,0.34,0.40,0.34,0.22,0.11,0.33,0.47,0.38,0.18,0.33,0.35,0.42,0.34,0.38,0.28,0.05,N/A,0.26,0.33,0.42,0.49,0.23,0.29,0.39,0.08,0.40,0.37,0.26,0.24
0.02,0.04,0.10,0.02,0.10,0.20,1,0.09,0.15,0.08,0.12,0.13,0.15,0.08,0.14,0.13,0.15,0.16,0.25,0.14,0.14,0.14,0.12,0.11,0.05,0.13,0.16,0.11,0.00,0.30,0.15,0.07,0.08,0.03,0.12,0.11,0.12,0.08,0.19,-0.01,N/A,0.02,0.24,0.21,0.16,0.02,0.12,0.14,0.01,0.13,0.15,0.03,0.09
0.13,0.02,0.43,0.04,0.21,0.19,0.09,1,0.29,0.72,0.45,0.25,0.40,0.43,0.27,0.32,0.39,0.26,0.19,0.38,0.24,0.33,0.40,0.21,0.03,0.43,0.32,0.16,0.01,0.13,0.41,0.30,0.61,0.15,0.35,0.34,0.37,0.41,0.28,0.04,N/A,0.11,0.19,0.34,0.42,0.15,0.18,0.39,0.09,0.36,0.39,0.11,0.14
0.31,0.20,0.67,0.20,0.39,0.41,0.15,0.29,1,0.29,0.59,0.72,0.62,0.67,0.56,0.96,0.62,0.55,0.40,0.65,0.40,0.60,0.67,0.20,0.18,0.70,0.51,0.37,0.09,0.22,0.72,0.41,0.24,0.25,0.62,0.97,0.63,0.66,0.57,0.09,N/A,0.32,0.61,0.74,0.69,0.20,0.53,0.67,0.13,0.69,0.63,0.29,0.35
0.10,0.07,0.45,0.15,0.26,0.21,0.08,0.72,0.29,1,0.45,0.24,0.42,0.44,0.34,0.32,0.41,0.32,0.22,0.43,0.24,0.38,0.42,0.26,0.07,0.44,0.35,0.14,0.05,0.15,0.41,0.33,0.72,0.13,0.38,0.33,0.40,0.42,0.34,0.07,N/A,0.12,0.18,0.34,0.43,0.11,0.23,0.42,0.05,0.41,0.40,0.10,0.15
0.20,0.24,0.83,0.20,0.37,0.37,0.12,0.45,0.59,0.45,1,0.41,0.75,0.83,0.54,0.64,0.73,0.55,0.33,0.72,0.42,0.63,0.81,0.29,0.21,0.82,0.63,0.34,0.14,0.25,0.79,0.44,0.36,0.26,0.67,0.67,0.72,0.80,0.55,0.07,N/A,0.27,0.37,0.64,0.75,0.19,0.40,0.74,0.15,0.74,0.74,0.19,0.35
0.23,0.12,0.45,0.18,0.33,0.44,0.13,0.25,0.72,0.24,0.41,1,0.52,0.46,0.46,0.73,0.52,0.46,0.46,0.52,0.41,0.50,0.49,0.18,0.23,0.49,0.46,0.35,0.03,0.20,0.53,0.31,0.18,0.22,0.50,0.70,0.49,0.47,0.47,0.04,N/A,0.35,0.52,0.59,0.51,0.22,0.43,0.53,0.09,0.50,0.51,0.31,0.33
0.31,0.27,0.72,0.24,0.46,0.37,0.15,0.40,0.62,0.42,0.75,0.52,1,0.72,0.80,0.66,0.96,0.81,0.44,0.90,0.46,0.87,0.74,0.30,0.25,0.74,0.77,0.42,0.08,0.23,0.73,0.45,0.37,0.26,0.88,0.67,0.90,0.72,0.81,0.09,N/A,0.38,0.46,0.68,0.74,0.21,0.73,0.88,0.09,0.84,0.90,0.30,0.44
0.25,0.30,0.92,0.19,0.39,0.39,0.08,0.43,0.67,0.44,0.83,0.46,0.72,1,0.59,0.70,0.71,0.59,0.36,0.76,0.44,0.65,0.90,0.25,0.25,0.99,0.64,0.46,0.22,0.21,0.88,0.45,0.35,0.26,0.70,0.75,0.71,0.99,0.59,0.11,N/A,0.29,0.36,0.67,0.84,0.19,0.52,0.80,0.16,0.87,0.72,0.21,0.39
