N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,1,0.12,0.06,0.03,0.02,0.17,0.06,0.01,0.17,N/A,N/A,0.18,0.02,-0.05,0.29,0.21,N/A,-0.02,0.07,0.10,0.07,0.01,0.07,0.20,0.35,0.09,0.04,0.07,0.07,N/A,0.17,0.14,0.17,0.08,N/A,0.24,0.09,N/A,0.02,0.31,0.15,0.14,0.03
N/A,N/A,0.12,1,0.04,0.09,0.12,0.31,0.12,0.00,0.33,N/A,N/A,0.29,0.03,-0.02,0.02,0.31,N/A,0.01,0.09,0.01,0.07,0.08,0.02,0.34,0.16,0.05,0.17,-0.04,0.11,N/A,0.37,0.23,0.37,0.04,N/A,0.33,0.26,N/A,0.05,0.08,0.09,0.03,0.12
N/A,N/A,0.06,0.04,1,0.02,0.04,0.10,0.06,0.00,0.10,N/A,N/A,0.03,0.07,0.10,0.05,0.03,N/A,-0.01,0.02,0.00,-0.10,0.03,-0.01,0.04,0.02,0.01,0.06,-0.03,0.03,N/A,0.14,0.04,0.15,0.07,N/A,0.10,0.05,N/A,-0.06,0.02,0.02,0.00,0.10
N/A,N/A,0.03,0.09,0.02,1,0.20,0.23,0.04,0.00,0.26,N/A,N/A,0.22,0.02,0.00,0.12,0.25,N/A,0.02,0.31,0.10,0.00,0.18,0.06,0.23,0.09,0.12,0.15,0.06,0.24,N/A,0.23,0.20,0.22,0.01,N/A,0.21,0.25,N/A,0.00,0.06,-0.00,0.00,-0.00
N/A,N/A,0.02,0.12,0.04,0.20,1,0.32,0.08,0.03,0.38,N/A,N/A,0.36,0.07,0.07,0.05,0.38,N/A,0.04,0.25,0.15,0.09,0.23,0.13,0.40,0.14,0.21,0.15,0.09,0.26,N/A,0.40,0.26,0.42,0.04,N/A,0.35,0.26,N/A,0.02,0.03,0.10,0.14,0.05
N/A,N/A,0.17,0.31,0.10,0.23,0.32,1,0.19,0.06,0.78,N/A,N/A,0.76,0.10,0.22,0.14,0.71,N/A,0.03,0.43,0.16,0.24,0.18,0.11,0.72,0.35,0.24,0.79,0.10,0.38,N/A,0.81,0.57,0.80,0.11,N/A,0.83,0.56,N/A,0.10,0.19,0.19,0.04,0.15
N/A,N/A,0.06,0.12,0.06,0.04,0.08,0.19,1,0.04,0.25,N/A,N/A,0.25,0.03,0.04,0.01,0.24,N/A,-0.01,0.18,0.10,0.07,0.07,0.12,0.23,0.13,0.05,0.07,0.02,0.21,N/A,0.26,0.16,0.24,0.06,N/A,0.23,0.19,N/A,0.01,0.01,0.08,0.03,0.07
N/A,N/A,0.01,0.00,0.00,0.00,0.03,0.06,0.04,1,0.06,N/A,N/A,0.06,0.00,-0.00,0.00,0.05,N/A,0.01,0.08,0.02,0.04,0.16,0.01,0.09,0.01,0.02,0.03,-0.02,0.02,N/A,0.08,0.14,0.08,-0.00,N/A,0.07,0.01,N/A,0.00,0.05,0.20,0.01,0.01
N/A,N/A,0.17,0.33,0.10,0.26,0.38,0.78,0.25,0.06,1,N/A,N/A,0.82,0.14,0.16,0.19,0.79,N/A,0.02,0.58,0.21,0.23,0.31,0.17,0.85,0.44,0.33,0.35,0.09,0.46,N/A,0.92,0.68,0.90,0.17,N/A,0.89,0.62,N/A,0.17,0.20,0.22,0.07,0.15
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,0.18,0.29,0.03,0.22,0.36,0.76,0.25,0.06,0.82,N/A,N/A,1,0.10,0.17,0.15,0.83,N/A,0.04,0.47,0.21,0.23,0.28,0.17,0.83,0.44,0.30,0.34,0.03,0.46,N/A,0.86,0.63,0.85,0.12,N/A,0.86,0.60,N/A,0.13,0.17,0.24,0.07,0.18
N/A,N/A,0.02,0.03,0.07,0.02,0.07,0.10,0.03,0.00,0.14,N/A,N/A,0.10,1,0.01,0.02,0.08,N/A,-0.00,0.06,0.01,0.02,0.15,0.05,0.11,0.03,0.33,0.03,-0.08,0.10,N/A,0.13,0.06,0.14,0.01,N/A,0.11,0.09,N/A,-0.03,0.06,0.01,0.01,0.02
N/A,N/A,-0.05,-0.02,0.10,0.00,0.07,0.22,0.04,-0.00,0.16,N/A,N/A,0.17,0.01,1,-0.02,0.11,N/A,0.00,0.08,-0.00,0.04,0.01,0.19,0.13,0.07,0.05,0.20,0.01,0.13,N/A,0.15,0.08,0.15,-0.01,N/A,0.16,0.15,N/A,0.01,0.08,0.05,-0.01,0.02
N/A,N/A,0.29,0.02,0.05,0.12,0.05,0.14,0.01,0.00,0.19,N/A,N/A,0.15,0.02,-0.02,1,0.19,N/A,-0.03,0.15,0.16,0.04,0.12,-0.02,0.16,0.16,0.04,0.07,0.08,0.09,N/A,0.15,0.12,0.15,0.00,N/A,0.15,0.11,N/A,0.04,0.02,0.11,0.09,-0.04
N/A,N/A,0.21,0.31,0.03,0.25,0.38,0.71,0.24,0.05,0.79,N/A,N/A,0.83,0.08,0.11,0.19,1,N/A,0.02,0.51,0.21,0.29,0.31,0.13,0.83,0.46,0.30,0.34,0.03,0.40,N/A,0.83,0.64,0.81,0.10,N/A,0.79,0.64,N/A,0.16,0.16,0.22,0.07,0.15
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,-0.02,0.01,-0.01,0.02,0.04,0.03,-0.01,0.01,0.02,N/A,N/A,0.04,-0.00,0.00,-0.03,0.02,N/A,1,0.01,-0.01,-0.00,0.00,0.01,0.00,0.02,0.01,0.02,0.02,0.01,N/A,0.03,0.01,0.04,-0.00,N/A,0.02,0.06,N/A,-0.02,-0.05,0.01,0.01,-0.00
N/A,N/A,0.07,0.09,0.02,0.31,0.25,0.43,0.18,0.08,0.58,N/A,N/A,0.47,0.06,0.08,0.15,0.51,N/A,0.01,1,0.15,0.09,0.42,0.16,0.53,0.33,0.26,0.22,0.08,0.63,N/A,0.50,0.52,0.49,0.04,N/A,0.46,0.41,N/A,0.16,0.17,0.12,0.05,0.02
N/A,N/A,0.10,0.01,0.00,0.10,0.15,0.16,0.10,0.02,0.21,N/A,N/A,0.21,0.01,-0.00,0.16,0.21,N/A,-0.01,0.15,1,0.14,0.08,0.00,0.20,0.17,0.11,0.02,0.04,0.09,N/A,0.22,0.25,0.22,0.01,N/A,0.21,0.22,N/A,0.01,0.03,0.17,0.24,0.06
N/A,N/A,0.07,0.07,-0.10,0.00,0.09,0.24,0.07,0.04,0.23,N/A,N/A,0.23,0.02,0.04,0.04,0.29,N/A,-0.00,0.09,0.14,1,0.04,0.01,0.16,0.12,0.04,0.09,0.03,0.11,N/A,0.29,0.17,0.28,0.09,N/A,0.29,0.11,N/A,-0.03,0.18,0.10,-0.02,-0.11
N/A,N/A,0.01,0.08,0.03,0.18,0.23,0.18,0.07,0.16,0.31,N/A,N/A,0.28,0.15,0.01,0.12,0.31,N/A,0.00,0.42,0.08,0.04,1,0.05,0.30,0.13,0.24,0.03,-0.01,0.24,N/A,0.29,0.34,0.28,0.04,N/A,0.24,0.24,N/A,0.02,0.02,0.20,0.09,-0.03
N/A,N/A,0.07,0.02,-0.01,0.06,0.13,0.11,0.12,0.01,0.17,N/A,N/A,0.17,0.05,0.19,-0.02,0.13,N/A,0.01,0.16,0.00,0.01,0.05,1,0.18,0.23,0.02,0.01,-0.01,0.07,N/A,0.16,0.09,0.15,0.00,N/A,0.16,0.08,N/A,0.03,0.00,0.04,-0.00,-0.01
N/A,N/A,0.20,0.34,0.04,0.23,0.40,0.72,0.23,0.09,0.85,N/A,N/A,0.83,0.11,0.13,0.16,0.83,N/A,0.00,0.53,0.20,0.16,0.30,0.18,1,0.42,0.32,0.28,0.02,0.43,N/A,0.90,0.65,0.87,0.13,N/A,0.86,0.61,N/A,0.14,0.20,0.21,0.07,0.14
N/A,N/A,0.35,0.16,0.02,0.09,0.14,0.35,0.13,0.01,0.44,N/A,N/A,0.44,0.03,0.07,0.16,0.46,N/A,0.02,0.33,0.17,0.12,0.13,0.23,0.42,1,0.17,0.15,0.05,0.24,N/A,0.40,0.32,0.39,0.11,N/A,0.42,0.29,N/A,0.28,0.30,0.15,0.14,0.04
N/A,N/A,0.09,0.05,0.01,0.12,0.21,0.24,0.05,0.02,0.33,N/A,N/A,0.30,0.33,0.05,0.04,0.30,N/A,0.01,0.26,0.11,0.04,0.24,0.02,0.32,0.17,1,0.08,0.05,0.32,N/A,0.32,0.23,0.34,0.05,N/A,0.30,0.21,N/A,0.15,0.09,0.08,-0.00,0.07
N/A,N/A,0.04,0.17,0.06,0.15,0.15,0.79,0.07,0.03,0.35,N/A,N/A,0.34,0.03,0.20,0.07,0.34,N/A,0.02,0.22,0.02,0.09,0.03,0.01,0.28,0.15,0.08,1,0.02,0.18,N/A,0.32,0.25,0.32,0.05,N/A,0.31,0.29,N/A,0.01,0.06,0.07,0.00,0.06
N/A,N/A,0.07,-0.04,-0.03,0.06,0.09,0.10,0.02,-0.02,0.09,N/A,N/A,0.03,-0.08,0.01,0.08,0.03,N/A,0.02,0.08,0.04,0.03,-0.01,-0.01,0.02,0.05,0.05,0.02,1,0.03,N/A,0.05,0.07,0.03,0.05,N/A,0.14,0.04,N/A,0.00,0.16,-0.02,0.01,-0.09
N/A,N/A,0.07,0.11,0.03,0.24,0.26,0.38,0.21,0.02,0.46,N/A,N/A,0.46,0.10,0.13,0.09,0.40,N/A,0.01,0.63,0.09,0.11,0.24,0.07,0.43,0.24,0.32,0.18,0.03,1,N/A,0.44,0.31,0.43,0.05,N/A,0.42,0.35,N/A,0.12,0.13,0.15,0.04,0.07
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,0.17,0.37,0.14,0.23,0.40,0.81,0.26,0.08,0.92,N/A,N/A,0.86,0.13,0.15,0.15,0.83,N/A,0.03,0.50,0.22,0.29,0.29,0.16,0.90,0.40,0.32,0.32,0.05,0.44,N/A,1,0.68,0.98,0.15,N/A,0.95,0.62,N/A,0.15,0.20,0.24,0.07,0.17
N/A,N/A,0.14,0.23,0.04,0.20,0.26,0.57,0.16,0.14,0.68,N/A,N/A,0.63,0.06,0.08,0.12,0.64,N/A,0.01,0.52,0.25,0.17,0.34,0.09,0.65,0.32,0.23,0.25,0.07,0.31,N/A,0.68,1,0.66,0.14,N/A,0.65,0.51,N/A,0.09,0.10,0.17,0.06,0.08
N/A,N/A,0.17,0.37,0.15,0.22,0.42,0.80,0.24,0.08,0.90,N/A,N/A,0.85,0.14,0.15,0.15,0.81,N/A,0.04,0.49,0.22,0.28,0.28,0.15,0.87,0.39,0.34,0.32,0.03,0.43,N/A,0.98,0.66,1,0.14,N/A,0.94,0.60,N/A,0.14,0.19,0.24,0.07,0.15
N/A,N/A,0.08,0.04,0.07,0.01,0.04,0.11,0.06,-0.00,0.17,N/A,N/A,0.12,0.01,-0.01,0.00,0.10,N/A,-0.00,0.04,0.01,0.09,0.04,0.00,0.13,0.11,0.05,0.05,0.05,0.05,N/A,0.15,0.14,0.14,1,N/A,0.14,0.15,N/A,0.01,0.05,0.05,0.03,0.05
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,0.24,0.33,0.10,0.21,0.35,0.83,0.23,0.07,0.89,N/A,N/A,0.86,0.11,0.16,0.15,0.79,N/A,0.02,0.46,0.21,0.29,0.24,0.16,0.86,0.42,0.30,0.31,0.14,0.42,N/A,0.95,0.65,0.94,0.14,N/A,1,0.60,N/A,0.15,0.24,0.24,0.06,0.19
N/A,N/A,0.09,0.26,0.05,0.25,0.26,0.56,0.19,0.01,0.62,N/A,N/A,0.60,0.09,0.15,0.11,0.64,N/A,0.06,0.41,0.22,0.11,0.24,0.08,0.61,0.29,0.21,0.29,0.04,0.35,N/A,0.62,0.51,0.60,0.15,N/A,0.60,1,N/A,0.15,0.06,0.14,0.03,0.30
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,0.02,0.05,-0.06,0.00,0.02,0.10,0.01,0.00,0.17,N/A,N/A,0.13,-0.03,0.01,0.04,0.16,N/A,-0.02,0.16,0.01,-0.03,0.02,0.03,0.14,0.28,0.15,0.01,0.00,0.12,N/A,0.15,0.09,0.14,0.01,N/A,0.15,0.15,N/A,1,0.01,0.03,-0.01,0.05
N/A,N/A,0.31,0.08,0.02,0.06,0.03,0.19,0.01,0.05,0.20,N/A,N/A,0.17,0.06,0.08,0.02,0.16,N/A,-0.05,0.17,0.03,0.18,0.02,0.00,0.20,0.30,0.09,0.06,0.16,0.13,N/A,0.20,0.10,0.19,0.05,N/A,0.24,0.06,N/A,0.01,1,0.06,0.06,-0.04
N/A,N/A,0.15,0.09,0.02,-0.00,0.10,0.19,0.08,0.20,0.22,N/A,N/A,0.24,0.01,0.05,0.11,0.22,N/A,0.01,0.12,0.17,0.10,0.20,0.04,0.21,0.15,0.08,0.07,-0.02,0.15,N/A,0.24,0.17,0.24,0.05,N/A,0.24,0.14,N/A,0.03,0.06,1,0.16,0.00
N/A,N/A,0.14,0.03,0.00,0.00,0.14,0.04,0.03,0.01,0.07,N/A,N/A,0.07,0.01,-0.01,0.09,0.07,N/A,0.01,0.05,0.24,-0.02,0.09,-0.00,0.07,0.14,-0.00,0.00,0.01,0.04,N/A,0.07,0.06,0.07,0.03,N/A,0.06,0.03,N/A,-0.01,0.06,0.16,1,-0.01
N/A,N/A,0.03,0.12,0.10,-0.00,0.05,0.15,0.07,0.01,0.15,N/A,N/A,0.18,0.02,0.02,-0.04,0.15,N/A,-0.00,0.02,0.06,-0.11,-0.03,-0.01,0.14,0.04,0.07,0.06,-0.09,0.07,N/A,0.17,0.08,0.15,0.05,N/A,0.19,0.30,N/A,0.05,-0.04,0.00,-0.01,1
