1,0.17,0.26,0.05,0.24,0.07,0.26,0.09,0.04,0.14,0.22,0.13,0.12,0.42,0.12,0.09,0.03,0.09,0.13,0.06,0.15,0.03,0.26,0.30,0.06,0.12,0.26,0.24,0.19,0.00,0.11,0.27,0.24,0.13,0.04,0.05,0.37,0.06,0.04
0.17,1,0.61,0.26,0.69,0.09,0.69,0.41,0.28,0.20,0.59,0.04,0.39,0.21,0.37,0.05,0.21,0.16,0.31,0.16,0.26,0.21,0.72,0.66,0.26,0.35,0.59,0.85,0.19,0.13,0.38,0.72,0.45,0.39,0.10,0.26,0.58,0.27,0.12
0.26,0.61,1,0.38,0.80,0.22,0.82,0.40,0.28,0.27,0.72,0.10,0.45,0.29,0.46,0.12,0.22,0.26,0.44,0.15,0.31,0.16,0.80,0.81,0.26,0.43,0.69,0.78,0.31,0.16,0.40,0.86,0.52,0.46,0.14,0.25,0.74,0.21,0.15
0.05,0.26,0.38,1,0.31,0.08,0.31,0.22,0.16,0.02,0.23,-0.00,0.10,0.03,0.13,-0.03,0.11,0.16,0.16,0.09,0.22,0.12,0.38,0.35,0.05,0.08,0.31,0.33,0.07,0.05,0.13,0.33,0.25,0.10,0.00,0.13,0.28,0.13,0.05
0.24,0.69,0.80,0.31,1,0.20,0.86,0.46,0.33,0.28,0.90,0.06,0.50,0.31,0.52,0.10,0.26,0.27,0.48,0.26,0.34,0.16,0.84,0.86,0.30,0.46,0.72,0.85,0.44,0.21,0.46,0.91,0.57,0.51,0.14,0.33,0.81,0.23,0.16
0.07,0.09,0.22,0.08,0.20,1,0.23,0.09,0.09,0.11,0.17,0.02,0.16,0.05,0.15,-0.03,0.01,0.06,0.17,0.26,0.09,0.01,0.17,0.21,0.05,0.14,0.18,0.17,0.16,0.04,0.14,0.23,0.05,0.16,0.07,0.12,0.22,-0.02,0.02
0.26,0.69,0.82,0.31,0.86,0.23,1,0.44,0.30,0.31,0.78,0.08,0.70,0.32,0.67,0.16,0.29,0.23,0.47,0.24,0.34,0.15,0.81,0.81,0.26,0.64,0.76,0.83,0.34,0.17,0.64,0.98,0.51,0.72,0.23,0.31,0.80,0.19,0.16
0.09,0.41,0.40,0.22,0.46,0.09,0.44,1,0.15,0.13,0.40,0.01,0.28,0.17,0.26,0.01,0.09,0.14,0.22,0.10,0.12,0.14,0.46,0.45,0.16,0.22,0.37,0.42,0.16,0.07,0.26,0.46,0.32,0.28,0.05,0.23,0.37,0.27,0.06
0.04,0.28,0.28,0.16,0.33,0.09,0.30,0.15,1,0.10,0.27,0.00,0.11,0.09,0.16,0.04,0.08,0.07,0.21,0.25,0.17,0.11,0.36,0.37,0.13,0.10,0.26,0.37,0.21,0.14,0.10,0.33,0.32,0.13,0.08,0.22,0.31,0.03,0.08
0.14,0.20,0.27,0.02,0.28,0.11,0.31,0.13,0.10,1,0.28,0.75,0.26,0.15,0.27,0.12,0.17,0.16,0.20,0.06,0.08,0.04,0.23,0.24,0.08,0.24,0.60,0.22,0.11,0.05,0.25,0.30,0.15,0.27,0.07,0.21,0.32,0.10,0.06
0.22,0.59,0.72,0.23,0.90,0.17,0.78,0.40,0.27,0.28,1,0.06,0.55,0.24,0.56,0.14,0.23,0.23,0.45,0.25,0.34,0.14,0.69,0.74,0.31,0.50,0.63,0.72,0.44,0.16,0.50,0.80,0.52,0.56,0.13,0.30,0.71,0.19,0.19
0.13,0.04,0.10,-0.00,0.06,0.02,0.08,0.01,0.00,0.75,0.06,1,0.06,0.09,0.05,0.02,0.01,0.01,0.07,-0.01,-0.00,0.00,0.06,0.06,0.02,0.03,0.58,0.06,0.01,0.05,0.03,0.08,0.08,0.05,0.03,0.01,0.15,0.09,0.02
0.12,0.39,0.45,0.10,0.50,0.16,0.70,0.28,0.11,0.26,0.55,0.06,1,0.10,0.85,0.22,0.30,0.07,0.24,0.17,0.13,0.08,0.33,0.35,0.13,0.77,0.42,0.38,0.25,0.06,0.90,0.62,0.19,0.97,0.10,0.17,0.46,0.03,0.11
0.42,0.21,0.29,0.03,0.31,0.05,0.32,0.17,0.09,0.15,0.24,0.09,0.10,1,0.10,-0.02,0.05,0.16,0.14,0.03,0.18,0.01,0.35,0.42,0.06,0.10,0.25,0.31,0.12,0.02,0.09,0.33,0.30,0.10,0.02,0.26,0.41,0.13,0.06
0.12,0.37,0.46,0.13,0.52,0.15,0.67,0.26,0.16,0.27,0.56,0.05,0.85,0.10,1,0.16,0.41,0.09,0.34,0.17,0.14,0.09,0.34,0.39,0.14,0.71,0.41,0.40,0.31,0.07,0.85,0.60,0.23,0.87,0.11,0.18,0.51,0.05,0.10
0.09,0.05,0.12,-0.03,0.10,-0.03,0.16,0.01,0.04,0.12,0.14,0.02,0.22,-0.02,0.16,1,-0.06,0.03,0.05,0.09,0.08,0.05,0.08,0.10,0.07,0.12,0.12,0.06,0.11,0.07,0.16,0.15,0.08,0.25,0.03,0.00,0.12,-0.01,0.07
