1,0.65,0.34,0.70,0.33,0.53,0.74,0.47,0.27,0.85,0.77,0.35,0.81,N/A,0.56,0.42,0.06,0.30,0.69,0.79,0.77,0.70,N/A,0.12,0.79,0.20,0.65,0.34,0.28,0.30,0.61,0.31,0.78,0.04,N/A,N/A,0.62,N/A,0.53,0.47,0.46,0.74,0.20,0.63,0.49,0.78,0.19,0.15,0.41,0.71,0.21,0.08,N/A,0.63,0.81
0.65,1,0.21,0.61,0.29,0.47,0.65,0.55,0.22,0.68,0.68,0.29,0.64,N/A,0.45,0.23,-0.02,0.20,0.59,0.73,0.66,0.63,N/A,0.14,0.70,0.25,0.57,0.22,0.17,0.21,0.62,0.32,0.68,0.07,N/A,N/A,0.56,N/A,0.47,0.54,0.36,0.66,0.20,0.56,0.55,0.69,0.16,0.13,0.35,0.60,0.23,0.02,N/A,0.53,0.64
0.34,0.21,1,0.34,0.18,0.32,0.34,0.28,0.17,0.33,0.32,0.19,0.32,N/A,0.32,0.08,0.09,0.20,0.34,0.30,0.24,0.29,N/A,0.07,0.38,0.09,0.32,0.29,0.06,0.25,0.23,0.19,0.36,0.02,N/A,N/A,0.35,N/A,0.24,0.23,0.24,0.28,0.27,0.36,0.25,0.31,0.17,0.10,0.10,0.33,0.10,0.00,N/A,0.28,0.32
0.70,0.61,0.34,1,0.36,0.57,0.81,0.50,0.23,0.80,0.80,0.37,0.76,N/A,0.58,0.24,0.08,0.28,0.74,0.81,0.68,0.72,N/A,0.17,0.83,0.25,0.67,0.34,0.25,0.37,0.63,0.34,0.80,0.02,N/A,N/A,0.66,N/A,0.54,0.50,0.55,0.79,0.31,0.72,0.50,0.81,0.19,0.15,0.44,0.74,0.20,0.07,N/A,0.68,0.76
0.33,0.29,0.18,0.36,1,0.24,0.43,0.31,0.06,0.43,0.37,0.18,0.44,N/A,0.32,0.18,0.00,0.20,0.35,0.36,0.39,0.37,N/A,0.25,0.41,0.06,0.38,0.23,0.13,0.25,0.28,0.18,0.43,0.18,N/A,N/A,0.40,N/A,0.24,0.24,0.53,0.34,0.07,0.41,0.33,0.36,0.14,0.03,0.38,0.37,0.02,0.04,N/A,0.34,0.44
0.53,0.47,0.32,0.57,0.24,1,0.62,0.46,0.34,0.56,0.58,0.32,0.52,N/A,0.57,0.10,-0.01,0.30,0.58,0.59,0.53,0.53,N/A,0.20,0.61,0.13,0.53,0.28,0.27,0.34,0.53,0.28,0.61,0.02,N/A,N/A,0.47,N/A,0.44,0.43,0.41,0.55,0.26,0.59,0.41,0.60,0.09,0.19,0.28,0.60,0.21,0.12,N/A,0.49,0.52
0.74,0.65,0.34,0.81,0.43,0.62,1,0.55,0.31,0.86,0.89,0.59,0.84,N/A,0.68,0.26,0.08,0.31,0.81,0.86,0.76,0.79,N/A,0.20,0.90,0.19,0.84,0.36,0.33,0.45,0.69,0.36,0.88,0.05,N/A,N/A,0.73,N/A,0.60,0.65,0.60,0.86,0.24,0.78,0.54,0.91,0.17,0.16,0.52,0.81,0.27,0.11,N/A,0.76,0.84
0.47,0.55,0.28,0.50,0.31,0.46,0.55,1,0.23,0.51,0.59,0.24,0.50,N/A,0.43,0.11,-0.00,0.23,0.50,0.58,0.49,0.49,N/A,0.25,0.63,0.08,0.47,0.24,0.14,0.26,0.37,0.27,0.54,0.04,N/A,N/A,0.47,N/A,0.39,0.75,0.41,0.53,0.14,0.47,0.53,0.58,0.16,0.27,0.25,0.51,0.09,0.03,N/A,0.43,0.50
0.27,0.22,0.17,0.23,0.06,0.34,0.31,0.23,1,0.26,0.28,0.15,0.24,N/A,0.23,0.11,0.08,0.13,0.33,0.25,0.27,0.20,N/A,0.12,0.29,-0.01,0.22,0.12,0.11,0.16,0.23,0.15,0.26,0.03,N/A,N/A,0.19,N/A,0.15,0.27,0.18,0.31,0.09,0.31,0.14,0.35,0.14,0.19,0.07,0.18,0.15,0.09,N/A,0.15,0.24
0.85,0.68,0.33,0.80,0.43,0.56,0.86,0.51,0.26,1,0.89,0.39,0.84,N/A,0.61,0.30,0.08,0.28,0.77,0.90,0.83,0.81,N/A,0.14,0.90,0.23,0.73,0.37,0.29,0.34,0.69,0.38,0.90,0.03,N/A,N/A,0.74,N/A,0.61,0.53,0.57,0.87,0.23,0.73,0.53,0.90,0.24,0.15,0.48,0.81,0.24,0.07,N/A,0.71,0.84
