1,0.02,0.15,0.11,0.08,0.17,N/A,-0.03,0.02,0.04,0.14,0.27,0.03,-0.01,N/A,0.18,0.21,0.38,0.11,0.06,0.25,N/A,0.05,0.04,0.18,0.16,0.09,0.00,0.09,0.00,0.09,0.18,0.13,0.05,0.06,0.04,0.12,0.13,0.02,0.25,0.11,N/A,-0.02,N/A,-0.01,0.08,0.23,0.22,-0.02,0.03,0.28,0.25,N/A,N/A,0.01,0.02,0.03,0.06,0.13,0.22,0.19,0.19,-0.02,0.13,0.20,0.22,0.12,0.19,N/A,0.08,0.02,0.09,0.14
0.02,1,0.09,0.04,0.03,0.10,N/A,-0.02,0.07,0.09,0.10,0.18,0.27,-0.00,N/A,0.10,0.08,0.04,0.12,0.08,-0.01,N/A,0.03,0.01,0.10,0.13,0.09,0.07,-0.02,0.07,0.26,0.07,0.11,0.02,0.05,-0.02,0.05,0.15,0.04,0.13,0.07,N/A,0.03,N/A,-0.00,0.08,0.17,0.15,0.01,-0.03,0.13,0.12,N/A,N/A,0.06,-0.01,-0.04,0.02,0.03,-0.02,0.12,0.08,-0.05,0.08,0.15,0.09,0.19,-0.08,N/A,0.11,0.01,0.07,0.04
0.15,0.09,1,0.27,0.09,0.53,N/A,0.09,0.17,0.10,0.40,0.61,0.29,0.09,N/A,0.56,0.43,0.20,0.33,0.24,0.22,N/A,0.08,0.16,0.57,0.48,0.09,0.14,0.05,0.14,0.08,0.50,0.39,0.20,0.08,0.11,0.49,0.26,0.09,0.51,0.47,N/A,0.01,N/A,0.03,0.06,0.62,0.52,0.05,0.05,0.51,0.59,N/A,N/A,0.16,0.08,0.10,0.31,0.38,0.12,0.52,0.39,0.06,0.24,0.58,0.54,0.30,0.03,N/A,0.16,0.05,0.23,0.23
0.11,0.04,0.27,1,0.10,0.17,N/A,0.08,-0.05,0.03,0.12,0.20,0.05,-0.02,N/A,0.19,0.16,0.10,0.02,0.07,0.00,N/A,0.00,0.02,0.15,0.25,0.09,0.10,-0.02,0.06,-0.02,0.19,0.21,0.04,0.06,0.05,0.24,0.07,0.06,0.20,0.23,N/A,0.02,N/A,0.05,0.01,0.22,0.23,-0.02,-0.02,0.19,0.19,N/A,N/A,-0.01,0.15,-0.01,0.07,0.12,0.09,0.18,0.14,0.06,0.13,0.19,0.22,0.11,0.04,N/A,0.11,0.05,0.06,0.10
0.08,0.03,0.09,0.10,1,0.15,N/A,-0.01,-0.02,-0.03,0.08,0.19,0.06,-0.00,N/A,0.07,0.08,0.08,0.02,-0.03,-0.02,N/A,0.04,0.06,0.12,0.08,0.02,0.07,-0.05,0.13,0.10,0.03,0.09,0.03,0.07,0.09,0.03,0.13,-0.00,0.09,0.05,N/A,-0.01,N/A,0.00,0.01,0.11,0.09,0.15,0.04,0.09,0.12,N/A,N/A,0.05,0.10,0.04,0.03,0.11,0.19,0.08,0.05,-0.05,0.05,0.10,0.11,0.23,-0.02,N/A,0.03,0.03,0.02,0.02
0.17,0.10,0.53,0.17,0.15,1,N/A,0.03,0.16,0.12,0.44,0.70,0.27,0.18,N/A,0.58,0.55,0.21,0.35,0.30,0.17,N/A,0.32,0.14,0.52,0.56,0.13,0.08,0.11,0.17,0.23,0.62,0.49,0.19,0.13,0.15,0.49,0.26,0.06,0.61,0.47,N/A,0.07,N/A,0.07,0.08,0.73,0.60,0.05,0.12,0.60,0.65,N/A,N/A,0.19,0.14,0.14,0.30,0.42,0.15,0.60,0.48,0.13,0.34,0.63,0.70,0.40,-0.01,N/A,0.27,0.11,0.23,0.26
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
-0.03,-0.02,0.09,0.08,-0.01,0.03,N/A,1,0.05,-0.02,0.04,0.11,-0.02,0.04,N/A,0.07,0.03,-0.02,0.07,0.03,0.04,N/A,0.03,0.12,0.05,0.15,0.18,-0.09,0.03,0.01,-0.03,0.05,0.18,-0.01,0.07,0.00,0.09,0.07,-0.01,0.08,0.05,N/A,-0.01,N/A,-0.01,0.00,0.07,0.04,-0.05,-0.02,0.07,0.07,N/A,N/A,0.02,0.05,0.11,-0.03,0.03,0.15,0.11,0.08,-0.00,-0.02,0.07,0.07,0.04,0.08,N/A,-0.01,-0.04,-0.00,0.05
0.02,0.07,0.17,-0.05,-0.02,0.16,N/A,0.05,1,0.09,0.16,0.20,0.04,-0.00,N/A,0.17,0.09,0.04,0.21,0.08,0.12,N/A,-0.01,0.05,0.16,0.14,0.08,0.03,0.06,0.04,0.03,0.20,0.10,0.05,0.07,-0.06,0.06,0.06,0.02,0.13,0.07,N/A,-0.04,N/A,0.00,0.06,0.16,0.18,0.04,0.30,0.14,0.19,N/A,N/A,0.01,0.07,0.07,-0.01,0.06,0.06,0.21,0.12,0.02,0.02,0.21,0.23,0.20,-0.07,N/A,-0.03,-0.03,0.09,-0.00
0.04,0.09,0.10,0.03,-0.03,0.12,N/A,-0.02,0.09,1,0.17,0.14,0.11,-0.01,N/A,0.15,0.16,0.08,0.02,0.11,0.11,N/A,-0.00,0.01,0.15,0.16,0.03,-0.03,-0.03,0.07,0.05,0.13,0.15,0.03,-0.02,-0.01,0.03,0.09,-0.02,0.17,0.02,N/A,0.00,N/A,0.02,0.02,0.15,0.14,-0.01,-0.04,0.17,0.10,N/A,N/A,0.06,0.00,0.03,0.15,0.08,-0.01,0.14,0.17,-0.04,0.06,0.17,0.12,0.13,-0.02,N/A,0.01,-0.01,0.07,0.07
0.14,0.10,0.40,0.12,0.08,0.44,N/A,0.04,0.16,0.17,1,0.41,0.28,0.01,N/A,0.47,0.35,0.13,0.19,0.20,0.07,N/A,0.06,0.08,0.34,0.42,0.06,0.06,0.11,0.16,0.13,0.40,0.36,0.23,0.08,0.11,0.31,0.19,0.04,0.41,0.32,N/A,-0.01,N/A,0.02,0.03,0.47,0.42,0.04,0.07,0.40,0.47,N/A,N/A,0.12,0.06,0.04,0.16,0.28,0.06,0.45,0.35,0.10,0.24,0.46,0.43,0.24,0.04,N/A,0.11,0.04,0.14,0.25
0.27,0.18,0.61,0.20,0.19,0.70,N/A,0.11,0.20,0.14,0.41,1,0.29,0.06,N/A,0.61,0.64,0.31,0.38,0.31,0.18,N/A,0.11,0.16,0.58,0.62,0.16,0.10,0.17,0.16,0.26,0.70,0.53,0.20,0.14,0.17,0.50,0.28,0.07,0.65,0.47,N/A,0.06,N/A,0.04,0.13,0.75,0.70,0.06,0.13,0.65,0.66,N/A,N/A,0.20,0.18,0.11,0.29,0.42,0.22,0.62,0.55,0.05,0.31,0.67,0.62,0.37,0.04,N/A,0.23,0.13,0.25,0.27
