1,0.64,0.17,0.84,0.31,0.58,0.79,0.42,0.24,0.82,0.58,0.34,0.79,0.10,0.56,0.33,0.13,0.21,0.64,0.85,0.72,0.83,0.39,0.19,0.73,0.34,0.70,0.25,0.36,0.30,0.63,0.56,0.85,0.12,0.03,N/A,0.77,0.07,0.69,0.23,0.37,0.75,0.16,0.64,0.33,0.77,0.19,0.05,0.35,0.48,0.47,0.06,N/A,0.59,0.79
0.64,1,0.21,0.64,0.32,0.50,0.59,0.39,0.19,0.63,0.39,0.32,0.62,0.03,0.51,0.32,0.08,0.19,0.49,0.64,0.64,0.65,0.31,0.18,0.50,0.27,0.53,0.18,0.33,0.26,0.50,0.42,0.64,0.06,0.05,N/A,0.58,0.03,0.52,0.18,0.29,0.57,0.17,0.53,0.36,0.57,0.18,0.06,0.29,0.33,0.34,0.05,N/A,0.51,0.62
0.17,0.21,1,0.17,0.24,0.29,0.21,0.16,0.14,0.18,0.21,0.23,0.19,0.04,0.21,0.12,0.16,0.14,0.24,0.18,0.19,0.18,0.09,0.10,0.18,0.05,0.27,0.09,0.10,0.21,0.17,0.07,0.23,0.03,0.01,N/A,0.14,0.09,0.20,0.26,0.14,0.18,0.27,0.27,0.14,0.18,0.10,0.01,0.09,0.25,0.09,0.20,N/A,0.14,0.19
0.84,0.64,0.17,1,0.36,0.57,0.80,0.45,0.21,0.85,0.59,0.36,0.81,0.08,0.55,0.33,0.12,0.21,0.66,0.86,0.74,0.82,0.41,0.22,0.71,0.34,0.72,0.29,0.33,0.33,0.62,0.55,0.87,0.10,0.08,N/A,0.78,0.10,0.68,0.18,0.38,0.77,0.19,0.68,0.39,0.78,0.21,0.06,0.38,0.48,0.42,0.08,N/A,0.62,0.81
0.31,0.32,0.24,0.36,1,0.28,0.28,0.21,0.09,0.34,0.21,0.26,0.33,0.01,0.29,0.18,0.05,0.16,0.30,0.34,0.37,0.31,0.15,0.04,0.26,0.12,0.36,0.10,0.15,0.26,0.27,0.16,0.32,0.08,0.00,N/A,0.27,0.05,0.28,0.01,0.28,0.29,0.28,0.33,0.30,0.28,0.14,0.07,0.28,0.23,0.12,0.17,N/A,0.27,0.33
0.58,0.50,0.29,0.57,0.28,1,0.69,0.31,0.63,0.61,0.40,0.46,0.56,0.12,0.63,0.29,0.17,0.22,0.67,0.55,0.51,0.54,0.42,0.24,0.54,0.19,0.62,0.23,0.29,0.34,0.67,0.38,0.58,0.13,0.01,N/A,0.55,0.06,0.51,0.26,0.38,0.64,0.22,0.66,0.37,0.69,0.34,0.06,0.28,0.50,0.53,0.03,N/A,0.60,0.56
0.79,0.59,0.21,0.80,0.28,0.69,1,0.42,0.48,0.81,0.60,0.40,0.79,0.14,0.62,0.28,0.10,0.23,0.77,0.83,0.71,0.80,0.39,0.31,0.74,0.31,0.76,0.24,0.36,0.38,0.74,0.49,0.82,0.15,0.06,N/A,0.78,0.09,0.71,0.24,0.38,0.87,0.20,0.75,0.36,0.92,0.23,0.08,0.35,0.59,0.55,0.06,N/A,0.68,0.79
0.42,0.39,0.16,0.45,0.21,0.31,0.42,1,0.17,0.40,0.31,0.21,0.39,0.05,0.32,0.16,0.09,0.07,0.36,0.43,0.31,0.42,0.29,0.17,0.38,0.16,0.41,0.13,0.08,0.25,0.37,0.29,0.44,-0.01,0.06,N/A,0.39,0.02,0.39,0.16,0.25,0.40,0.21,0.42,0.22,0.41,0.06,0.10,0.27,0.26,0.15,0.16,N/A,0.42,0.39
0.24,0.19,0.14,0.21,0.09,0.63,0.48,0.17,1,0.22,0.14,0.28,0.20,0.11,0.31,0.09,0.06,0.12,0.63,0.19,0.16,0.22,0.15,0.21,0.24,0.10,0.29,0.07,0.13,0.19,0.61,0.14,0.22,0.09,0.03,N/A,0.22,0.00,0.21,0.17,0.16,0.52,0.22,0.49,0.10,0.59,0.36,0.04,0.07,0.34,0.53,-0.02,N/A,0.34,0.20
0.82,0.63,0.18,0.85,0.34,0.61,0.81,0.40,0.22,1,0.57,0.42,0.82,0.14,0.57,0.35,0.09,0.22,0.62,0.87,0.73,0.83,0.37,0.20,0.71,0.35,0.77,0.26,0.35,0.36,0.65,0.53,0.88,0.12,0.04,N/A,0.78,0.10,0.70,0.19,0.38,0.76,0.16,0.68,0.39,0.79,0.31,0.08,0.36,0.49,0.46,0.05,N/A,0.62,0.82
