1,0.56,0.03,0.18,0.05,0.25,0.01,0.03,0.19,0.04,0.23,0.08,0.11,N/A,0.19,0.04,0.28,0.02,0.14,0.51
0.56,1,0.07,0.29,0.10,0.38,0.07,0.04,0.22,0.16,0.26,0.12,0.19,N/A,0.30,0.12,0.25,0.07,0.35,0.50
0.03,0.07,1,0.22,0.06,0.21,0.94,-0.01,0.37,0.13,0.08,0.02,0.06,N/A,0.18,0.03,0.05,0.03,0.11,0.04
0.18,0.29,0.22,1,0.24,0.59,0.21,0.19,0.16,0.41,0.29,0.07,0.45,N/A,0.91,0.03,0.16,0.04,0.32,0.31
0.05,0.10,0.06,0.24,1,0.60,0.05,0.06,0.04,0.22,0.07,0.05,0.21,N/A,0.27,-0.00,0.08,0.09,0.08,0.08
0.25,0.38,0.21,0.59,0.60,1,0.20,0.12,0.19,0.45,0.68,0.11,0.49,N/A,0.65,0.08,0.27,0.11,0.48,0.36
0.01,0.07,0.94,0.21,0.05,0.20,1,0.01,0.38,0.14,0.08,0.01,0.05,N/A,0.18,0.00,0.04,0.01,0.11,0.04
0.03,0.04,-0.01,0.19,0.06,0.12,0.01,1,-0.01,0.06,0.01,0.02,0.17,N/A,0.22,-0.06,0.10,0.01,0.16,0.09
0.19,0.22,0.37,0.16,0.04,0.19,0.38,-0.01,1,0.06,0.09,0.01,0.09,N/A,0.15,0.01,0.13,0.05,0.19,0.16
0.04,0.16,0.13,0.41,0.22,0.45,0.14,0.06,0.06,1,0.16,0.04,0.31,N/A,0.44,0.09,0.04,0.02,0.14,0.18
0.23,0.26,0.08,0.29,0.07,0.68,0.08,0.01,0.09,0.16,1,0.05,0.27,N/A,0.32,0.05,0.24,0.03,0.20,0.25
0.08,0.12,0.02,0.07,0.05,0.11,0.01,0.02,0.01,0.04,0.05,1,0.00,N/A,0.06,-0.01,0.06,0.09,0.04,0.07
0.11,0.19,0.06,0.45,0.21,0.49,0.05,0.17,0.09,0.31,0.27,0.00,1,N/A,0.77,0.11,0.05,0.14,0.28,0.27
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.19,0.30,0.18,0.91,0.27,0.65,0.18,0.22,0.15,0.44,0.32,0.06,0.77,N/A,1,0.07,0.14,0.09,0.35,0.35
0.04,0.12,0.03,0.03,-0.00,0.08,0.00,-0.06,0.01,0.09,0.05,-0.01,0.11,N/A,0.07,1,-0.03,-0.00,0.10,0.08
0.28,0.25,0.05,0.16,0.08,0.27,0.04,0.10,0.13,0.04,0.24,0.06,0.05,N/A,0.14,-0.03,1,0.03,0.22,0.19
0.02,0.07,0.03,0.04,0.09,0.11,0.01,0.01,0.05,0.02,0.03,0.09,0.14,N/A,0.09,-0.00,0.03,1,0.08,0.09
0.14,0.35,0.11,0.32,0.08,0.48,0.11,0.16,0.19,0.14,0.20,0.04,0.28,N/A,0.35,0.10,0.22,0.08,1,0.24
0.51,0.50,0.04,0.31,0.08,0.36,0.04,0.09,0.16,0.18,0.25,0.07,0.27,N/A,0.35,0.08,0.19,0.09,0.24,1
