1,0.55,0.54,0.37,0.42,0.10,0.61,0.48,0.21,0.26,0.33,N/A,0.19,0.92,0.24,0.22,0.38,0.27,0.17,0.11,N/A,0.19,0.23,0.37,0.31,0.31,0.25,0.50,0.15,0.18,0.47,0.98,0.23,0.48,0.21,0.38,N/A,0.58,0.18,0.21,0.10,0.30,0.19,0.76,0.06,0.24,0.15,0.43,0.28,0.43,0.35,0.11,0.17,0.20,0.33,0.27,0.27,0.14,0.19,0.21,N/A,0.21,0.09,0.15,0.13,0.29,0.25,0.12,0.64,0.06,0.35,0.29,0.32,0.35,0.79
0.55,1,0.54,0.46,0.52,0.19,0.34,0.43,0.22,0.11,0.43,N/A,0.20,0.65,0.18,0.18,0.40,0.17,0.11,0.12,N/A,0.19,0.16,0.29,0.17,0.30,0.15,0.30,0.10,0.03,0.34,0.61,0.27,0.33,0.16,0.28,N/A,0.64,0.07,0.30,0.10,0.41,0.24,0.69,0.04,0.14,0.22,0.47,0.18,0.29,0.17,0.06,0.09,0.16,0.20,0.13,0.30,0.03,0.08,0.15,N/A,0.13,0.05,0.03,0.08,0.23,0.13,0.08,0.55,-0.00,0.20,0.19,0.29,0.31,0.53
0.54,0.54,1,0.32,0.34,0.17,0.34,0.43,0.13,0.15,0.27,N/A,0.23,0.63,0.23,0.23,0.39,0.18,0.12,0.18,N/A,0.19,0.16,0.26,0.23,0.24,0.15,0.30,0.16,0.11,0.36,0.59,0.26,0.36,0.11,0.25,N/A,0.56,0.06,0.15,0.11,0.24,0.15,0.63,0.07,0.12,0.12,0.34,0.17,0.29,0.30,0.14,0.07,0.10,0.24,0.16,0.25,0.04,0.04,0.15,N/A,0.14,0.01,0.09,0.17,0.32,0.18,0.08,0.49,0.01,0.27,0.19,0.19,0.24,0.53
0.37,0.46,0.32,1,0.32,0.03,0.24,0.35,0.12,0.14,0.84,N/A,0.23,0.44,0.11,0.12,0.34,0.14,0.04,0.01,N/A,0.14,0.15,0.23,0.15,0.12,0.20,0.16,0.11,0.16,0.18,0.41,0.19,0.29,0.16,0.19,N/A,0.47,0.08,0.24,0.00,0.86,0.17,0.44,0.02,0.12,0.07,0.80,0.17,0.32,0.19,0.02,0.04,0.08,0.16,0.14,0.33,0.01,0.04,0.07,N/A,0.16,0.09,0.04,0.13,0.19,0.13,0.05,0.40,-0.01,0.18,0.15,0.17,0.28,0.39
0.42,0.52,0.34,0.32,1,0.21,0.25,0.31,0.12,0.14,0.30,N/A,0.11,0.47,0.10,0.15,0.27,0.12,0.14,0.12,N/A,0.20,0.18,0.18,0.18,0.31,0.12,0.24,0.16,0.05,0.26,0.46,0.25,0.23,0.18,0.18,N/A,0.40,0.06,0.09,0.16,0.28,0.06,0.47,0.04,0.10,0.09,0.34,0.15,0.16,0.16,0.12,0.17,0.13,0.21,0.05,0.31,0.10,0.10,0.08,N/A,0.11,0.12,0.06,0.12,0.18,0.07,0.04,0.37,0.05,0.11,0.13,0.29,0.23,0.41
0.10,0.19,0.17,0.03,0.21,1,-0.01,0.22,0.04,0.01,-0.02,N/A,0.12,0.09,-0.03,0.01,0.07,-0.03,-0.02,0.01,N/A,0.02,-0.03,-0.01,0.05,0.04,-0.04,0.08,-0.01,0.03,0.10,0.12,0.16,0.08,-0.03,0.04,N/A,0.17,0.02,0.02,-0.01,-0.02,0.11,0.12,-0.04,-0.03,0.23,0.00,0.03,0.03,-0.01,-0.04,-0.01,0.03,-0.05,0.05,0.01,0.05,-0.00,0.03,N/A,-0.00,0.01,0.04,-0.00,0.10,-0.04,0.03,0.09,-0.00,-0.04,0.01,0.10,-0.01,0.10
0.61,0.34,0.34,0.24,0.25,-0.01,1,0.29,0.17,0.20,0.25,N/A,0.07,0.58,0.16,0.18,0.26,0.21,0.09,0.09,N/A,0.13,0.17,0.28,0.23,0.24,0.24,0.28,0.15,0.15,0.26,0.60,0.17,0.38,0.13,0.29,N/A,0.36,0.11,0.17,0.04,0.20,0.16,0.49,0.06,0.16,0.06,0.28,0.20,0.33,0.28,0.06,0.12,0.15,0.16,0.31,0.22,0.09,0.10,0.20,N/A,0.10,0.11,0.08,0.20,0.17,0.18,0.13,0.43,0.06,0.22,0.23,0.17,0.30,0.51
0.48,0.43,0.43,0.35,0.31,0.22,0.29,1,0.16,0.21,0.31,N/A,0.11,0.55,0.15,0.20,0.26,0.12,0.04,0.10,N/A,0.14,0.21,0.23,0.28,0.19,0.13,0.26,0.13,0.10,0.32,0.53,0.28,0.38,0.12,0.37,N/A,0.49,0.11,0.15,0.05,0.27,0.13,0.52,0.06,0.14,0.08,0.36,0.16,0.26,0.26,0.09,0.07,0.16,0.24,0.16,0.17,0.09,0.11,0.09,N/A,0.21,0.06,0.10,0.09,0.30,0.15,0.05,0.42,0.02,0.20,0.16,0.22,0.32,0.50
0.21,0.22,0.13,0.12,0.12,0.04,0.17,0.16,1,-0.01,0.09,N/A,0.01,0.21,0.05,0.07,0.17,0.33,0.20,-0.01,N/A,-0.01,0.06,0.05,0.07,0.12,0.07,0.20,0.02,-0.01,0.06,0.22,0.16,0.10,0.12,0.09,N/A,0.15,0.23,0.03,0.10,0.09,0.10,0.21,-0.01,0.02,-0.04,0.10,0.15,0.12,0.10,-0.01,0.32,-0.03,0.06,-0.01,0.12,-0.01,0.03,0.05,N/A,-0.01,-0.02,-0.02,0.03,0.04,0.14,0.01,0.11,0.01,0.14,0.00,0.01,0.08,0.12
0.26,0.11,0.15,0.14,0.14,0.01,0.20,0.21,-0.01,1,0.18,N/A,0.17,0.28,0.25,0.09,0.24,0.08,0.04,0.17,N/A,0.23,0.42,0.41,0.27,0.10,0.53,0.06,0.03,0.26,0.05,0.28,0.11,0.25,0.23,0.24,N/A,0.19,0.02,0.08,0.19,0.13,-0.05,0.34,0.12,0.20,0.13,0.18,0.10,0.15,0.25,0.01,-0.00,0.07,0.20,0.12,0.15,0.01,0.02,0.30,N/A,0.15,0.07,-0.02,0.18,0.12,0.08,0.13,0.29,0.02,0.14,0.15,0.07,0.21,0.66
0.33,0.43,0.27,0.84,0.30,-0.02,0.25,0.31,0.09,0.18,1,N/A,0.23,0.41,0.12,0.11,0.31,0.09,0.01,0.03,N/A,0.15,0.15,0.24,0.18,0.12,0.23,0.14,0.13,0.11,0.15,0.38,0.15,0.30,0.14,0.20,N/A,0.41,0.06,0.18,0.03,0.96,0.06,0.42,-0.02,0.17,0.09,0.88,0.17,0.26,0.17,0.00,0.02,0.04,0.20,0.14,0.28,0.00,-0.01,0.09,N/A,0.17,0.16,0.02,0.17,0.17,0.16,0.12,0.36,0.01,0.18,0.18,0.17,0.35,0.39
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
