1,0.06,0.10,0.03,0.08,0.07,0.13,0.27,0.09,0.10,0.15,-0.00,0.06,0.06,0.24,0.14,0.08,0.32,0.12,0.14,0.36,0.32,0.13,0.11,0.10,0.06,0.33,0.38,0.06,0.17,0.11,N/A,0.28
0.06,1,0.09,0.04,0.11,0.05,0.10,-0.02,0.05,0.09,0.12,0.03,0.03,0.01,0.17,0.17,0.05,0.17,0.10,0.12,0.13,-0.05,0.10,0.03,0.09,0.07,0.17,0.19,0.07,0.07,0.17,N/A,0.09
0.10,0.09,1,0.02,0.50,0.42,0.82,0.12,-0.01,0.09,0.04,0.67,0.07,0.16,0.24,0.33,0.13,0.29,0.14,0.09,0.27,0.01,0.15,0.04,0.21,0.04,0.15,0.22,0.02,0.50,0.16,N/A,0.36
0.03,0.04,0.02,1,0.06,0.01,-0.00,0.04,0.01,0.04,0.25,0.03,0.01,-0.01,0.09,0.21,0.04,0.13,0.07,0.09,0.07,0.00,0.04,0.01,0.01,-0.01,0.07,0.06,0.05,0.03,0.02,N/A,0.07
0.08,0.11,0.50,0.06,1,0.53,0.36,0.13,0.00,0.08,0.07,0.40,0.08,0.08,0.23,0.31,0.15,0.26,0.50,0.15,0.26,0.03,0.22,0.07,0.22,0.04,0.12,0.20,0.05,0.53,0.05,N/A,0.29
0.07,0.05,0.42,0.01,0.53,1,0.36,0.17,0.00,0.07,0.08,0.26,0.06,0.04,0.18,0.15,0.22,0.21,0.10,0.20,0.26,0.00,0.26,0.06,0.18,0.04,0.16,0.21,-0.05,0.40,0.16,N/A,0.26
0.13,0.10,0.82,-0.00,0.36,0.36,1,0.10,-0.01,0.13,0.01,0.13,0.10,0.17,0.19,0.27,0.12,0.24,0.03,0.09,0.22,-0.02,0.04,0.04,0.08,-0.02,0.09,0.15,-0.01,0.44,0.10,N/A,0.30
0.27,-0.02,0.12,0.04,0.13,0.17,0.10,1,0.05,0.07,0.11,0.08,0.06,0.03,0.40,0.28,0.12,0.35,0.02,0.09,0.43,0.01,0.11,0.17,0.09,0.21,0.35,0.43,-0.01,0.24,0.06,N/A,0.38
0.09,0.05,-0.01,0.01,0.00,0.00,-0.01,0.05,1,0.07,0.26,0.00,-0.00,-0.04,0.16,0.09,0.06,0.16,0.08,0.10,0.20,0.00,0.15,0.04,0.06,0.06,0.08,0.11,0.24,0.01,0.09,N/A,0.16
0.10,0.09,0.09,0.04,0.08,0.07,0.13,0.07,0.07,1,0.02,-0.01,-0.01,0.00,0.10,0.07,0.08,0.09,-0.01,0.06,0.10,-0.00,0.07,0.01,0.06,0.14,0.08,0.13,-0.03,0.07,-0.01,N/A,0.16
0.15,0.12,0.04,0.25,0.07,0.08,0.01,0.11,0.26,0.02,1,0.06,0.01,0.01,0.25,0.18,0.08,0.30,0.13,0.21,0.21,0.00,0.20,0.00,0.21,0.04,0.23,0.27,0.03,0.07,0.14,N/A,0.26
-0.00,0.03,0.67,0.03,0.40,0.26,0.13,0.08,0.00,-0.01,0.06,1,-0.00,0.06,0.17,0.23,0.08,0.20,0.21,0.04,0.18,0.03,0.22,0.02,0.25,0.09,0.14,0.18,0.04,0.30,0.15,N/A,0.24
