1,0.79,0.49,0.87,0.85,0.46,0.79,0.04,0.50,0.70,0.54,0.96,0.35,0.53,0.37,0.59
0.79,1,0.33,0.75,0.56,0.27,1.00,-0.01,0.36,0.40,0.37,0.82,0.08,0.21,0.29,0.42
0.49,0.33,1,0.56,0.58,0.24,0.33,0.07,0.52,0.45,0.35,0.50,0.43,0.33,0.25,0.40
0.87,0.75,0.56,1,0.90,0.44,0.75,0.04,0.56,0.67,0.56,0.92,0.40,0.43,0.38,0.62
0.85,0.56,0.58,0.90,1,0.45,0.56,0.09,0.64,0.76,0.57,0.90,0.40,0.51,0.39,0.64
0.46,0.27,0.24,0.44,0.45,1,0.27,0.03,0.29,0.41,0.28,0.47,0.11,0.36,0.25,0.30
0.79,1.00,0.33,0.75,0.56,0.27,1,-0.01,0.36,0.40,0.37,0.82,0.08,0.21,0.29,0.42
0.04,-0.01,0.07,0.04,0.09,0.03,-0.01,1,0.06,0.05,0.20,0.05,0.01,0.13,-0.00,0.33
0.50,0.36,0.52,0.56,0.64,0.29,0.36,0.06,1,0.51,0.31,0.56,0.16,0.34,0.31,0.47
0.70,0.40,0.45,0.67,0.76,0.41,0.40,0.05,0.51,1,0.47,0.74,0.44,0.41,0.25,0.55
0.54,0.37,0.35,0.56,0.57,0.28,0.37,0.20,0.31,0.47,1,0.55,0.28,0.36,0.27,0.94
0.96,0.82,0.50,0.92,0.90,0.47,0.82,0.05,0.56,0.74,0.55,1,0.30,0.48,0.40,0.62
0.35,0.08,0.43,0.40,0.40,0.11,0.08,0.01,0.16,0.44,0.28,0.30,1,0.26,-0.05,0.28
0.53,0.21,0.33,0.43,0.51,0.36,0.21,0.13,0.34,0.41,0.36,0.48,0.26,1,0.16,0.40
0.37,0.29,0.25,0.38,0.39,0.25,0.29,-0.00,0.31,0.25,0.27,0.40,-0.05,0.16,1,0.27
0.59,0.42,0.40,0.62,0.64,0.30,0.42,0.33,0.47,0.55,0.94,0.62,0.28,0.40,0.27,1
