1,0.13,0.36,0.19,0.06,0.05,0.07,0.12,0.09,0.13,0.94,0.17,0.15,0.28,0.26,0.12,0.06,0.19,0.22,0.21,0.14,N/A,0.24,0.56,0.15,0.12,0.18,0.24,0.09,0.18,-0.07,0.02,0.04,0.39,0.27,0.24,0.02,N/A,0.04,0.10,0.19,0.29,N/A
0.13,1,0.06,0.08,0.16,-0.01,0.08,0.07,0.03,0.11,0.06,0.19,0.18,0.25,0.12,0.29,0.12,0.35,0.08,0.25,0.16,N/A,0.40,0.11,0.15,-0.00,0.11,0.07,0.27,0.05,-0.20,0.07,0.03,0.04,0.19,0.23,0.01,N/A,0.34,0.03,0.16,-0.00,N/A
0.36,0.06,1,0.13,0.22,0.13,0.07,0.01,0.16,0.17,0.32,0.15,0.03,0.21,0.29,0.22,0.04,0.18,0.14,0.40,0.08,N/A,0.19,0.47,0.20,0.18,0.19,0.46,0.16,0.17,0.01,0.06,0.04,0.50,0.32,0.21,0.05,N/A,0.23,0.19,0.16,0.21,N/A
0.19,0.08,0.13,1,0.12,0.12,0.14,0.19,0.24,0.44,0.10,0.27,0.11,0.42,0.38,0.11,0.07,0.22,0.21,0.30,0.24,N/A,0.31,0.18,0.22,0.20,0.11,0.27,0.22,0.52,-0.03,0.29,0.07,0.12,0.25,0.27,-0.01,N/A,0.11,0.37,0.36,-0.03,N/A
0.06,0.16,0.22,0.12,1,0.19,0.18,0.05,0.21,0.23,0.00,0.22,0.45,0.22,0.18,0.30,0.08,0.23,0.10,0.30,0.02,N/A,0.19,0.11,0.21,0.22,0.21,0.32,0.26,0.14,-0.05,0.19,0.15,0.14,0.19,0.19,0.14,N/A,0.18,0.02,0.31,0.01,N/A
0.05,-0.01,0.13,0.12,0.19,1,0.26,0.19,0.29,0.33,0.04,0.39,0.24,0.20,0.29,0.21,0.21,0.40,0.10,0.18,0.21,N/A,0.19,0.19,0.14,0.51,0.43,0.24,0.32,0.17,0.11,0.19,0.18,0.12,0.24,0.42,0.07,N/A,0.27,0.30,0.54,-0.05,N/A
0.07,0.08,0.07,0.14,0.18,0.26,1,0.24,0.34,0.27,0.04,0.34,0.17,0.24,0.27,0.09,0.00,0.21,0.20,0.27,0.20,N/A,0.16,0.04,0.06,0.34,0.25,0.05,0.43,0.24,0.19,0.19,0.11,0.06,0.25,0.31,0.17,N/A,0.28,0.10,0.50,0.18,N/A
0.12,0.07,0.01,0.19,0.05,0.19,0.24,1,0.24,0.25,0.08,0.35,0.11,0.22,0.24,0.06,-0.01,0.25,0.12,0.16,0.15,N/A,0.10,0.03,0.11,0.22,0.17,0.16,0.19,0.19,-0.02,0.22,0.10,0.01,0.25,0.32,0.00,N/A,0.16,0.17,0.28,0.06,N/A
0.09,0.03,0.16,0.24,0.21,0.29,0.34,0.24,1,0.27,0.06,0.63,0.19,0.30,0.51,0.21,0.09,0.42,0.27,0.34,0.21,N/A,0.22,0.17,0.26,0.41,0.22,0.16,0.35,0.26,0.09,0.30,0.12,0.06,0.27,0.60,0.02,N/A,0.46,0.43,0.61,0.16,N/A
0.13,0.11,0.17,0.44,0.23,0.33,0.27,0.25,0.27,1,0.10,0.40,0.19,0.47,0.44,0.23,0.13,0.42,0.29,0.43,0.29,N/A,0.29,0.17,0.24,0.44,0.38,0.29,0.34,0.52,0.11,0.35,0.15,0.23,0.42,0.44,0.10,N/A,0.27,0.35,0.44,0.08,N/A
