1,-0.02,N/A,0.14,0.25,0.07,0.17,0.11,0.00,N/A,0.07,N/A,0.07,0.07,0.08,0.02,0.07,N/A,0.07,N/A,-0.06,0.07,-0.01,0.18,0.08,0.05,0.14,0.09,0.73,N/A,0.03
-0.02,1,N/A,0.10,-0.03,0.06,0.03,-0.05,0.10,N/A,0.13,N/A,-0.09,0.06,-0.00,0.14,0.03,N/A,0.13,N/A,0.10,-0.03,0.17,0.13,-0.11,0.09,-0.01,0.03,0.01,N/A,0.04
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.14,0.10,N/A,1,0.36,-0.03,0.41,0.25,0.25,N/A,0.27,N/A,0.16,0.56,0.17,0.39,0.04,N/A,0.27,N/A,0.04,0.39,0.19,0.25,0.33,0.23,0.17,0.19,0.22,N/A,0.09
0.25,-0.03,N/A,0.36,1,0.07,0.44,0.40,0.16,N/A,0.21,N/A,-0.04,0.24,0.35,0.34,0.06,N/A,0.21,N/A,-0.04,0.31,0.12,0.32,0.38,0.14,0.06,0.23,0.34,N/A,0.16
0.07,0.06,N/A,-0.03,0.07,1,-0.11,0.05,0.02,N/A,0.06,N/A,-0.26,0.05,0.01,0.00,-0.02,N/A,0.06,N/A,-0.07,0.17,-0.05,0.05,-0.10,-0.08,-0.02,-0.07,0.07,N/A,0.10
0.17,0.03,N/A,0.41,0.44,-0.11,1,0.61,0.43,N/A,0.41,N/A,0.19,0.49,0.49,0.49,0.20,N/A,0.41,N/A,0.28,0.38,0.18,0.36,0.27,0.16,0.21,0.33,0.39,N/A,0.09
0.11,-0.05,N/A,0.25,0.40,0.05,0.61,1,0.33,N/A,0.26,N/A,-0.04,0.41,0.48,0.50,0.08,N/A,0.26,N/A,0.01,0.33,0.15,0.43,0.29,0.18,0.29,0.34,0.36,N/A,0.08
0.00,0.10,N/A,0.25,0.16,0.02,0.43,0.33,1,N/A,0.20,N/A,-0.06,0.31,0.15,0.26,0.15,N/A,0.20,N/A,0.19,0.20,0.24,0.16,0.02,0.10,0.03,0.16,0.21,N/A,0.18
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.07,0.13,N/A,0.27,0.21,0.06,0.41,0.26,0.20,N/A,1,N/A,0.10,0.26,0.34,0.32,0.21,N/A,1.00,N/A,0.15,0.24,0.23,0.20,0.21,0.27,0.26,0.26,0.23,N/A,0.10
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.07,-0.09,N/A,0.16,-0.04,-0.26,0.19,-0.04,-0.06,N/A,0.10,N/A,1,0.16,-0.12,0.06,0.00,N/A,0.10,N/A,0.22,0.06,0.09,0.02,-0.17,0.04,0.13,0.10,0.03,N/A,-0.02
0.07,0.06,N/A,0.56,0.24,0.05,0.49,0.41,0.31,N/A,0.26,N/A,0.16,1,0.37,0.45,0.09,N/A,0.26,N/A,0.04,0.42,0.29,0.41,0.15,0.22,0.30,0.24,0.31,N/A,-0.01
0.08,-0.00,N/A,0.17,0.35,0.01,0.49,0.48,0.15,N/A,0.34,N/A,-0.12,0.37,1,0.44,0.05,N/A,0.34,N/A,0.08,0.28,0.09,0.28,0.17,0.09,0.27,0.16,0.32,N/A,0.00
0.02,0.14,N/A,0.39,0.34,0.00,0.49,0.50,0.26,N/A,0.32,N/A,0.06,0.45,0.44,1,0.07,N/A,0.32,N/A,0.05,0.52,0.32,0.48,0.29,0.36,0.22,0.36,0.28,N/A,0.13
0.07,0.03,N/A,0.04,0.06,-0.02,0.20,0.08,0.15,N/A,0.21,N/A,0.00,0.09,0.05,0.07,1,N/A,0.21,N/A,-0.00,0.02,0.11,0.09,-0.05,-0.06,-0.03,0.08,0.16,N/A,-0.03
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.07,0.13,N/A,0.27,0.21,0.06,0.41,0.26,0.20,N/A,1.00,N/A,0.10,0.26,0.34,0.32,0.21,N/A,1,N/A,0.16,0.24,0.23,0.20,0.21,0.27,0.26,0.26,0.23,N/A,0.10
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
-0.06,0.10,N/A,0.04,-0.04,-0.07,0.28,0.01,0.19,N/A,0.15,N/A,0.22,0.04,0.08,0.05,-0.00,N/A,0.16,N/A,1,-0.03,-0.08,0.04,-0.13,0.05,0.01,-0.08,0.02,N/A,0.04
