1,0.43,0.46,-0.01,0.06,0.08,0.04,-0.02,0.16,-0.02,0.26,N/A,N/A,0.11,0.20,0.04,0.21,0.19,0.32,0.40,N/A,0.03,0.10,0.43,-0.01,0.16,0.03,0.19,0.07,0.21,0.02,0.06,0.06,0.47,0.09,0.15,0.52,0.15,N/A,0.18,0.08,0.31,0.49,0.18,0.37,0.36,0.25,0.28,0.08,N/A,0.11,0.52,0.31,0.19,N/A,0.19,0.02
0.43,1,0.37,0.15,0.18,0.29,0.38,0.38,0.43,0.10,0.45,N/A,N/A,0.26,0.18,0.23,0.24,0.16,0.77,0.32,N/A,0.21,0.24,0.41,0.14,0.29,0.05,0.33,0.31,0.83,0.17,0.37,0.20,0.33,0.27,0.60,0.41,0.23,N/A,0.33,0.38,0.30,0.48,0.34,0.18,0.87,0.33,0.66,0.21,N/A,0.27,0.37,0.34,0.39,N/A,0.37,0.30
0.46,0.37,1,0.02,0.05,0.02,0.16,0.01,0.39,0.04,0.23,N/A,N/A,0.14,0.15,0.01,0.23,0.07,0.21,0.48,N/A,-0.01,0.13,0.25,0.01,0.07,-0.07,0.19,0.17,0.18,0.04,0.19,0.01,0.20,0.02,0.23,0.42,0.28,N/A,0.16,0.05,0.29,0.29,0.20,0.19,0.32,0.20,0.17,-0.02,N/A,0.02,0.38,0.37,0.07,N/A,0.22,0.13
-0.01,0.15,0.02,1,-0.02,0.09,0.59,0.10,0.20,0.01,0.02,N/A,N/A,0.04,0.02,-0.03,0.03,-0.06,0.32,0.05,N/A,0.01,0.01,0.04,0.23,0.04,-0.01,0.51,0.08,0.13,0.23,0.36,0.02,0.01,-0.04,0.36,0.03,0.31,N/A,0.11,0.06,0.00,0.01,0.84,0.04,0.18,0.03,0.07,-0.01,N/A,0.05,0.03,0.05,0.03,N/A,0.07,0.56
0.06,0.18,0.05,-0.02,1,0.01,0.03,0.11,0.15,-0.11,0.01,N/A,N/A,0.04,0.19,-0.05,0.00,0.07,0.14,0.05,N/A,0.13,0.11,0.03,-0.01,-0.02,0.21,0.08,0.08,0.13,0.01,0.03,0.02,0.09,0.15,0.07,0.03,0.10,N/A,0.11,-0.03,0.06,0.15,0.01,0.08,0.17,0.08,-0.09,0.09,N/A,0.04,0.24,0.02,0.01,N/A,-0.02,-0.07
0.08,0.29,0.02,0.09,0.01,1,0.17,0.31,0.28,0.01,0.08,N/A,N/A,0.04,0.04,0.00,0.23,0.16,0.36,0.14,N/A,0.06,0.07,0.19,0.02,0.52,-0.01,0.22,0.15,0.33,0.01,0.12,0.18,0.10,0.17,0.20,0.21,0.18,N/A,0.35,0.44,0.15,0.12,0.17,0.25,0.28,0.19,0.25,0.28,N/A,0.06,0.18,-0.05,0.45,N/A,0.16,0.04
0.04,0.38,0.16,0.59,0.03,0.17,1,0.10,0.49,0.09,0.08,N/A,N/A,0.20,0.10,0.01,0.03,-0.05,0.43,0.07,N/A,-0.04,0.16,0.16,0.59,0.11,0.01,0.50,0.42,0.31,0.63,0.83,0.10,0.06,0.12,0.81,0.07,0.14,N/A,0.42,0.51,0.08,0.09,0.72,0.05,0.51,0.19,0.15,0.17,N/A,0.16,0.10,0.16,0.34,N/A,0.21,0.69
-0.02,0.38,0.01,0.10,0.11,0.31,0.10,1,0.07,0.08,0.33,N/A,N/A,0.03,0.03,-0.02,0.09,-0.06,0.32,0.06,N/A,0.14,0.05,0.21,0.06,0.19,-0.01,0.16,0.17,0.34,0.04,0.06,0.04,0.25,0.26,0.17,0.19,0.16,N/A,0.15,0.07,0.03,0.18,0.08,0.12,0.30,0.13,0.32,0.01,N/A,-0.01,0.03,0.04,0.23,N/A,0.30,0.01
0.16,0.43,0.39,0.20,0.15,0.28,0.49,0.07,1,0.03,0.12,N/A,N/A,0.23,0.02,0.13,0.13,0.03,0.41,0.16,N/A,0.07,0.37,0.33,0.15,0.26,-0.07,0.36,0.57,0.26,0.14,0.38,0.14,0.23,0.20,0.42,0.30,0.18,N/A,0.24,0.34,0.11,0.32,0.38,0.14,0.63,0.39,0.18,0.09,N/A,0.43,0.24,0.06,0.24,N/A,0.32,0.44
-0.02,0.10,0.04,0.01,-0.11,0.01,0.09,0.08,0.03,1,0.02,N/A,N/A,0.05,-0.11,0.07,0.07,-0.01,0.08,0.04,N/A,0.03,0.02,0.06,0.05,0.05,-0.01,0.00,0.05,0.12,0.01,0.08,0.00,0.08,0.14,0.09,0.07,-0.05,N/A,0.01,0.12,-0.01,0.05,-0.01,-0.00,0.12,0.11,0.12,0.07,N/A,0.04,0.02,0.06,0.13,N/A,0.47,0.03
