1,N/A,0.43,0.46,0.13,0.36,0.36,0.19,0.17,0.25,0.50,0.08,0.16,0.25,0.20,0.09,0.39,0.23,0.24,0.43,0.42,0.35,0.23
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.43,N/A,1,0.26,0.18,0.15,0.29,0.19,0.19,0.04,0.40,0.05,0.11,0.14,0.15,0.03,0.30,0.19,0.27,0.25,0.29,0.31,0.23
0.46,N/A,0.26,1,0.16,0.25,0.60,0.27,0.36,0.18,0.37,0.16,0.56,0.24,0.27,0.16,0.65,0.56,0.43,0.57,0.64,0.41,0.31
0.13,N/A,0.18,0.16,1,0.19,0.17,0.33,0.16,-0.05,0.18,0.07,0.03,0.13,-0.07,0.06,0.12,0.10,0.30,0.20,0.13,0.42,0.43
0.36,N/A,0.15,0.25,0.19,1,0.16,0.02,0.03,0.02,0.22,0.07,0.17,0.27,0.11,0.15,0.12,0.07,0.11,0.18,0.18,0.06,0.04
0.36,N/A,0.29,0.60,0.17,0.16,1,0.24,0.33,0.23,0.43,0.09,0.38,0.25,0.28,0.23,0.63,0.48,0.41,0.55,0.65,0.40,0.33
0.19,N/A,0.19,0.27,0.33,0.02,0.24,1,0.14,0.05,0.12,-0.01,0.06,0.20,0.06,0.17,0.43,0.22,0.43,0.24,0.22,0.54,0.54
0.17,N/A,0.19,0.36,0.16,0.03,0.33,0.14,1,0.01,0.15,0.01,0.19,0.15,0.37,0.33,0.45,0.43,0.24,0.25,0.35,0.27,0.25
0.25,N/A,0.04,0.18,-0.05,0.02,0.23,0.05,0.01,1,0.21,0.04,0.13,0.15,0.06,-0.01,0.19,0.14,0.15,0.73,0.52,0.13,0.12
0.50,N/A,0.40,0.37,0.18,0.22,0.43,0.12,0.15,0.21,1,0.08,0.17,0.15,0.30,0.19,0.44,0.22,0.31,0.32,0.31,0.38,0.28
0.08,N/A,0.05,0.16,0.07,0.07,0.09,-0.01,0.01,0.04,0.08,1,0.00,0.04,0.05,0.17,0.07,0.05,-0.02,0.04,0.06,-0.01,-0.02
0.16,N/A,0.11,0.56,0.03,0.17,0.38,0.06,0.19,0.13,0.17,0.00,1,0.06,0.40,0.13,0.35,0.35,0.25,0.35,0.39,0.26,0.21
0.25,N/A,0.14,0.24,0.13,0.27,0.25,0.20,0.15,0.15,0.15,0.04,0.06,1,0.13,0.25,0.30,0.22,0.16,0.29,0.32,0.28,0.21
0.20,N/A,0.15,0.27,-0.07,0.11,0.28,0.06,0.37,0.06,0.30,0.05,0.40,0.13,1,0.44,0.32,0.31,0.25,0.13,0.20,0.20,0.14
0.09,N/A,0.03,0.16,0.06,0.15,0.23,0.17,0.33,-0.01,0.19,0.17,0.13,0.25,0.44,1,0.43,0.22,0.37,0.13,0.15,0.24,0.24
0.39,N/A,0.30,0.65,0.12,0.12,0.63,0.43,0.45,0.19,0.44,0.07,0.35,0.30,0.32,0.43,1,0.53,0.60,0.52,0.58,0.54,0.48
0.23,N/A,0.19,0.56,0.10,0.07,0.48,0.22,0.43,0.14,0.22,0.05,0.35,0.22,0.31,0.22,0.53,1,0.24,0.46,0.61,0.33,0.28
0.24,N/A,0.27,0.43,0.30,0.11,0.41,0.43,0.24,0.15,0.31,-0.02,0.25,0.16,0.25,0.37,0.60,0.24,1,0.48,0.47,0.68,0.64
0.43,N/A,0.25,0.57,0.20,0.18,0.55,0.24,0.25,0.73,0.32,0.04,0.35,0.29,0.13,0.13,0.52,0.46,0.48,1,0.87,0.48,0.39
0.42,N/A,0.29,0.64,0.13,0.18,0.65,0.22,0.35,0.52,0.31,0.06,0.39,0.32,0.20,0.15,0.58,0.61,0.47,0.87,1,0.46,0.37
0.35,N/A,0.31,0.41,0.42,0.06,0.40,0.54,0.27,0.13,0.38,-0.01,0.26,0.28,0.20,0.24,0.54,0.33,0.68,0.48,0.46,1,0.90
0.23,N/A,0.23,0.31,0.43,0.04,0.33,0.54,0.25,0.12,0.28,-0.02,0.21,0.21,0.14,0.24,0.48,0.28,0.64,0.39,0.37,0.90,1
