1,0.62,0.86,0.36,0.68,0.81,0.51,0.54,0.80,0.83,0.53,0.71,0.80,0.42,0.42,0.59,0.61,N/A,0.79,0.67,N/A,0.72,0.30,0.77,0.29
0.62,1,0.65,0.33,0.56,0.63,0.39,0.45,0.60,0.63,0.46,0.62,0.65,0.33,0.40,0.50,0.47,N/A,0.60,0.54,N/A,0.54,0.10,0.63,0.18
0.86,0.65,1,0.47,0.74,0.92,0.59,0.55,0.87,0.90,0.59,0.76,0.89,0.62,0.34,0.59,0.62,N/A,0.93,0.70,N/A,0.82,0.34,0.81,0.45
0.36,0.33,0.47,1,0.34,0.49,0.30,0.21,0.40,0.43,0.27,0.31,0.40,0.36,0.13,0.22,0.24,N/A,0.64,0.28,N/A,0.55,0.24,0.26,0.22
0.68,0.56,0.74,0.34,1,0.71,0.47,0.45,0.64,0.66,0.42,0.90,0.70,0.43,0.25,0.93,0.55,N/A,0.68,0.96,N/A,0.60,0.24,0.66,0.29
0.81,0.63,0.92,0.49,0.71,1,0.53,0.47,0.85,0.89,0.59,0.75,0.85,0.47,0.36,0.58,0.58,N/A,0.91,0.68,N/A,0.79,0.34,0.80,0.39
0.51,0.39,0.59,0.30,0.47,0.53,1,0.45,0.53,0.52,0.35,0.44,0.58,0.49,0.27,0.36,0.42,N/A,0.53,0.41,N/A,0.58,0.07,0.66,0.26
0.54,0.45,0.55,0.21,0.45,0.47,0.45,1,0.51,0.50,0.27,0.43,0.56,0.31,0.21,0.34,0.37,N/A,0.42,0.39,N/A,0.43,0.01,0.65,0.26
0.80,0.60,0.87,0.40,0.64,0.85,0.53,0.51,1,0.89,0.67,0.67,0.85,0.47,0.32,0.51,0.52,N/A,0.85,0.62,N/A,0.79,0.30,0.72,0.40
0.83,0.63,0.90,0.43,0.66,0.89,0.52,0.50,0.89,1,0.82,0.69,0.88,0.44,0.44,0.52,0.53,N/A,0.91,0.63,N/A,0.84,0.24,0.75,0.32
0.53,0.46,0.59,0.27,0.42,0.59,0.35,0.27,0.67,0.82,1,0.46,0.69,0.21,0.39,0.31,0.27,N/A,0.70,0.42,N/A,0.70,0.10,0.45,0.21
0.71,0.62,0.76,0.31,0.90,0.75,0.44,0.43,0.67,0.69,0.46,1,0.75,0.36,0.23,0.88,0.62,N/A,0.70,0.92,N/A,0.60,0.25,0.72,0.31
0.80,0.65,0.89,0.40,0.70,0.85,0.58,0.56,0.85,0.88,0.69,0.75,1,0.47,0.33,0.59,0.61,N/A,0.84,0.69,N/A,0.80,0.26,0.79,0.41
0.42,0.33,0.62,0.36,0.43,0.47,0.49,0.31,0.47,0.44,0.21,0.36,0.47,1,0.17,0.27,0.33,N/A,0.50,0.32,N/A,0.47,0.11,0.43,0.41
0.42,0.40,0.34,0.13,0.25,0.36,0.27,0.21,0.32,0.44,0.39,0.23,0.33,0.17,1,0.24,0.19,N/A,0.37,0.23,N/A,0.39,0.06,0.28,0.06
0.59,0.50,0.59,0.22,0.93,0.58,0.36,0.34,0.51,0.52,0.31,0.88,0.59,0.27,0.24,1,0.53,N/A,0.53,0.98,N/A,0.44,0.21,0.58,0.20
0.61,0.47,0.62,0.24,0.55,0.58,0.42,0.37,0.52,0.53,0.27,0.62,0.61,0.33,0.19,0.53,1,N/A,0.53,0.57,N/A,0.51,0.06,0.65,0.23
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.79,0.60,0.93,0.64,0.68,0.91,0.53,0.42,0.85,0.91,0.70,0.70,0.84,0.50,0.37,0.53,0.53,N/A,1,0.65,N/A,0.87,0.33,0.70,0.43
0.67,0.54,0.70,0.28,0.96,0.68,0.41,0.39,0.62,0.63,0.42,0.92,0.69,0.32,0.23,0.98,0.57,N/A,0.65,1,N/A,0.55,0.24,0.64,0.26
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.72,0.54,0.82,0.55,0.60,0.79,0.58,0.43,0.79,0.84,0.70,0.60,0.80,0.47,0.39,0.44,0.51,N/A,0.87,0.55,N/A,1,0.27,0.67,0.29
0.30,0.10,0.34,0.24,0.24,0.34,0.07,0.01,0.30,0.24,0.10,0.25,0.26,0.11,0.06,0.21,0.06,N/A,0.33,0.24,N/A,0.27,1,0.23,0.04
0.77,0.63,0.81,0.26,0.66,0.80,0.66,0.65,0.72,0.75,0.45,0.72,0.79,0.43,0.28,0.58,0.65,N/A,0.70,0.64,N/A,0.67,0.23,1,0.31
0.29,0.18,0.45,0.22,0.29,0.39,0.26,0.26,0.40,0.32,0.21,0.31,0.41,0.41,0.06,0.20,0.23,N/A,0.43,0.26,N/A,0.29,0.04,0.31,1
