1,0.06,0.01,0.10,0.04,0.24,0.05,0.16,0.27,0.24,0.06,-0.10,0.02,-0.01,0.18,0.02,0.06,0.30,0.76,-0.04,0.29,0.19,0.44,0.12,0.04,0.18,N/A,N/A,0.03
0.06,1,0.01,0.13,0.22,0.03,0.57,-0.01,0.03,0.01,0.54,0.23,0.03,0.02,0.49,0.20,0.22,0.41,0.23,0.29,0.41,0.28,0.03,0.39,0.49,0.33,N/A,N/A,0.17
0.01,0.01,1,0.23,0.04,0.05,0.24,0.03,0.05,0.21,0.36,-0.04,0.09,0.14,0.42,0.03,0.06,0.27,0.00,0.28,0.23,0.15,0.00,0.35,0.46,0.17,N/A,N/A,0.25
0.10,0.13,0.23,1,0.06,0.03,0.19,0.03,0.03,0.07,0.29,0.06,-0.01,-0.00,0.31,-0.01,0.10,0.33,0.11,0.30,0.40,0.14,-0.00,0.15,0.19,0.52,N/A,N/A,0.08
0.04,0.22,0.04,0.06,1,0.01,0.30,0.10,0.13,-0.01,0.14,0.11,0.05,0.17,0.23,0.17,0.25,0.26,0.18,0.21,0.28,0.12,0.03,0.19,0.18,0.23,N/A,N/A,0.13
0.24,0.03,0.05,0.03,0.01,1,0.25,-0.02,0.78,0.03,-0.03,0.07,0.33,0.06,0.24,0.58,0.12,0.17,0.31,0.12,0.20,0.27,0.84,-0.01,0.09,0.20,N/A,N/A,-0.05
0.05,0.57,0.24,0.19,0.30,0.25,1,-0.03,0.20,0.14,0.58,0.15,0.17,0.14,0.63,0.34,0.21,0.40,0.25,0.55,0.39,0.12,0.18,0.34,0.61,0.35,N/A,N/A,0.33
0.16,-0.01,0.03,0.03,0.10,-0.02,-0.03,1,-0.03,-0.03,0.03,0.34,0.01,0.13,0.16,0.05,0.28,0.28,0.20,-0.10,0.29,0.06,0.01,0.26,0.04,0.17,N/A,N/A,0.10
0.27,0.03,0.05,0.03,0.13,0.78,0.20,-0.03,1,0.10,0.00,-0.01,0.48,0.05,0.22,0.62,0.06,0.25,0.34,0.09,0.26,0.61,0.78,-0.03,0.03,0.21,N/A,N/A,-0.02
0.24,0.01,0.21,0.07,-0.01,0.03,0.14,-0.03,0.10,1,0.08,0.08,0.12,0.13,0.13,0.02,0.03,0.24,0.21,0.16,0.25,0.17,0.11,0.16,0.01,0.20,N/A,N/A,0.13
0.06,0.54,0.36,0.29,0.14,-0.03,0.58,0.03,0.00,0.08,1,-0.02,0.03,0.05,0.53,-0.00,0.10,0.39,0.10,0.37,0.35,0.10,-0.03,0.51,0.55,0.34,N/A,N/A,0.46
-0.10,0.23,-0.04,0.06,0.11,0.07,0.15,0.34,-0.01,0.08,-0.02,1,0.05,0.09,0.21,0.23,0.18,0.29,0.06,0.13,0.33,0.12,0.01,0.19,0.12,0.27,N/A,N/A,0.08
0.02,0.03,0.09,-0.01,0.05,0.33,0.17,0.01,0.48,0.12,0.03,0.05,1,0.04,0.10,0.30,0.08,0.15,0.18,0.02,0.16,0.40,0.26,0.09,-0.01,0.05,N/A,N/A,-0.04
-0.01,0.02,0.14,-0.00,0.17,0.06,0.14,0.13,0.05,0.13,0.05,0.09,0.04,1,0.21,0.05,0.53,0.31,0.13,0.15,0.35,0.11,0.02,0.19,0.13,0.24,N/A,N/A,0.01
0.18,0.49,0.42,0.31,0.23,0.24,0.63,0.16,0.22,0.13,0.53,0.21,0.10,0.21,1,0.30,0.32,0.74,0.33,0.53,0.73,0.22,0.18,0.58,0.74,0.60,N/A,N/A,0.39
0.02,0.20,0.03,-0.01,0.17,0.58,0.34,0.05,0.62,0.02,-0.00,0.23,0.30,0.05,0.30,1,0.15,0.24,0.13,0.12,0.28,0.32,0.50,0.00,0.11,0.17,N/A,N/A,0.00
0.06,0.22,0.06,0.10,0.25,0.12,0.21,0.28,0.06,0.03,0.10,0.18,0.08,0.53,0.32,0.15,1,0.40,0.18,0.23,0.43,0.19,0.07,0.34,0.15,0.36,N/A,N/A,0.07
0.30,0.41,0.27,0.33,0.26,0.17,0.40,0.28,0.25,0.24,0.39,0.29,0.15,0.31,0.74,0.24,0.40,1,0.41,0.33,0.95,0.33,0.17,0.47,0.53,0.78,N/A,N/A,0.26
0.76,0.23,0.00,0.11,0.18,0.31,0.25,0.20,0.34,0.21,0.10,0.06,0.18,0.13,0.33,0.13,0.18,0.41,1,0.10,0.43,0.33,0.44,0.23,0.20,0.29,N/A,N/A,0.11
-0.04,0.29,0.28,0.30,0.21,0.12,0.55,-0.10,0.09,0.16,0.37,0.13,0.02,0.15,0.53,0.12,0.23,0.33,0.10,1,0.33,0.10,0.05,0.31,0.43,0.39,N/A,N/A,0.30
0.29,0.41,0.23,0.40,0.28,0.20,0.39,0.29,0.26,0.25,0.35,0.33,0.16,0.35,0.73,0.28,0.43,0.95,0.43,0.33,1,0.36,0.18,0.48,0.49,0.82,N/A,N/A,0.19
0.19,0.28,0.15,0.14,0.12,0.27,0.12,0.06,0.61,0.17,0.10,0.12,0.40,0.11,0.22,0.32,0.19,0.33,0.33,0.10,0.36,1,0.42,0.08,0.09,0.25,N/A,N/A,-0.03
0.44,0.03,0.00,-0.00,0.03,0.84,0.18,0.01,0.78,0.11,-0.03,0.01,0.26,0.02,0.18,0.50,0.07,0.17,0.44,0.05,0.18,0.42,1,-0.04,0.02,0.17,N/A,N/A,-0.05
0.12,0.39,0.35,0.15,0.19,-0.01,0.34,0.26,-0.03,0.16,0.51,0.19,0.09,0.19,0.58,0.00,0.34,0.47,0.23,0.31,0.48,0.08,-0.04,1,0.47,0.35,N/A,N/A,0.24
0.04,0.49,0.46,0.19,0.18,0.09,0.61,0.04,0.03,0.01,0.55,0.12,-0.01,0.13,0.74,0.11,0.15,0.53,0.20,0.43,0.49,0.09,0.02,0.47,1,0.41,N/A,N/A,0.37
0.18,0.33,0.17,0.52,0.23,0.20,0.35,0.17,0.21,0.20,0.34,0.27,0.05,0.24,0.60,0.17,0.36,0.78,0.29,0.39,0.82,0.25,0.17,0.35,0.41,1,N/A,N/A,0.17
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.03,0.17,0.25,0.08,0.13,-0.05,0.33,0.10,-0.02,0.13,0.46,0.08,-0.04,0.01,0.39,0.00,0.07,0.26,0.11,0.30,0.19,-0.03,-0.05,0.24,0.37,0.17,N/A,N/A,1
