1,0.63,0.62,0.86,0.83,0.79,0.83,0.37,0.44,0.33,0.55,0.44,0.89,0.30,0.83,0.59,0.46,0.17,0.47,0.63,0.79,0.46,0.29,0.93,0.75,0.25,0.76,0.64,0.11,0.65,0.54,0.65,0.18,0.84,0.82,0.41,0.83,0.81,0.84,0.66,0.16,0.74,0.85,0.66
0.63,1,0.95,0.60,0.61,0.48,0.56,0.36,0.32,0.20,0.41,0.40,0.54,0.22,0.53,0.34,0.26,0.22,0.30,0.40,0.56,0.51,0.13,0.59,0.51,0.35,0.55,0.49,0.12,0.51,0.66,0.70,0.17,0.55,0.58,0.37,0.56,0.49,0.54,0.42,0.18,0.57,0.56,0.49
0.62,0.95,1,0.61,0.59,0.48,0.61,0.37,0.26,0.20,0.43,0.46,0.54,0.24,0.55,0.32,0.30,0.24,0.28,0.40,0.55,0.51,0.17,0.60,0.52,0.39,0.59,0.48,0.10,0.53,0.66,0.67,0.16,0.56,0.58,0.29,0.57,0.49,0.55,0.42,0.17,0.59,0.58,0.44
0.86,0.60,0.61,1,0.95,0.71,0.84,0.34,0.53,0.34,0.48,0.46,0.77,0.34,0.87,0.63,0.51,0.17,0.51,0.58,0.94,0.44,0.34,0.79,0.76,0.27,0.74,0.52,0.17,0.58,0.47,0.54,0.28,0.87,0.92,0.44,0.84,0.85,0.87,0.70,0.13,0.79,0.86,0.85
0.83,0.61,0.59,0.95,1,0.67,0.80,0.35,0.49,0.36,0.49,0.42,0.71,0.35,0.79,0.57,0.48,0.18,0.49,0.54,0.93,0.43,0.34,0.77,0.74,0.26,0.72,0.58,0.19,0.58,0.50,0.60,0.21,0.79,0.95,0.42,0.76,0.83,0.79,0.66,0.15,0.86,0.80,0.90
0.79,0.48,0.48,0.71,0.67,1,0.67,0.40,0.47,0.30,0.39,0.38,0.72,0.20,0.71,0.53,0.50,0.13,0.48,0.86,0.66,0.39,0.26,0.77,0.64,0.24,0.66,0.49,0.16,0.50,0.38,0.44,0.33,0.72,0.67,0.45,0.73,0.79,0.72,0.59,0.12,0.65,0.72,0.50
0.83,0.56,0.61,0.84,0.80,0.67,1,0.33,0.42,0.32,0.47,0.55,0.72,0.32,0.91,0.53,0.44,0.20,0.48,0.51,0.80,0.37,0.33,0.78,0.79,0.24,0.84,0.52,0.13,0.56,0.54,0.55,0.19,0.91,0.84,0.35,0.81,0.76,0.91,0.74,0.15,0.76,0.93,0.60
0.37,0.36,0.37,0.34,0.35,0.40,0.33,1,0.20,0.11,0.36,0.25,0.28,0.01,0.30,0.11,0.57,0.18,0.25,0.27,0.36,0.48,0.09,0.38,0.19,0.20,0.32,0.32,0.00,0.50,0.40,0.40,0.38,0.32,0.30,0.14,0.33,0.37,0.30,0.17,0.01,0.35,0.35,0.21
0.44,0.32,0.26,0.53,0.49,0.47,0.42,0.20,1,0.48,0.24,0.18,0.40,0.11,0.52,0.49,0.35,0.06,0.25,0.42,0.48,0.17,0.10,0.38,0.43,0.07,0.43,0.32,0.02,0.30,0.18,0.24,0.55,0.52,0.47,0.50,0.56,0.49,0.52,0.40,0.22,0.41,0.51,0.45
0.33,0.20,0.20,0.34,0.36,0.30,0.32,0.11,0.48,1,0.16,0.16,0.29,0.14,0.41,0.32,0.42,0.02,0.25,0.26,0.28,0.22,0.06,0.29,0.32,0.25,0.30,0.37,0.10,0.17,0.15,0.20,0.49,0.41,0.33,0.23,0.42,0.36,0.41,0.31,0.11,0.42,0.40,0.21
0.55,0.41,0.43,0.48,0.49,0.39,0.47,0.36,0.24,0.16,1,0.32,0.49,0.15,0.40,0.25,0.15,0.26,0.25,0.32,0.43,0.39,0.14,0.54,0.34,0.17,0.36,0.36,0.03,0.91,0.40,0.57,0.05,0.42,0.45,0.21,0.43,0.42,0.40,0.32,0.04,0.45,0.46,0.38
0.44,0.40,0.46,0.46,0.42,0.38,0.55,0.25,0.18,0.16,0.32,1,0.36,0.14,0.51,0.22,0.16,0.48,0.13,0.24,0.45,0.20,0.09,0.50,0.31,0.21,0.44,0.24,0.16,0.35,0.29,0.45,0.11,0.52,0.41,0.11,0.45,0.41,0.51,0.36,-0.03,0.39,0.54,0.34
0.89,0.54,0.54,0.77,0.71,0.72,0.72,0.28,0.40,0.29,0.49,0.36,1,0.27,0.72,0.62,0.34,0.17,0.52,0.61,0.65,0.34,0.30,0.84,0.71,0.19,0.69,0.43,0.06,0.58,0.44,0.56,0.12,0.73,0.73,0.38,0.78,0.69,0.73,0.58,0.15,0.69,0.73,0.56
0.30,0.22,0.24,0.34,0.35,0.20,0.32,0.01,0.11,0.14,0.15,0.14,0.27,1,0.36,0.27,0.16,0.01,0.03,0.06,0.34,0.11,0.16,0.27,0.34,0.07,0.30,0.22,0.25,0.24,0.06,0.11,-0.03,0.37,0.37,0.03,0.34,0.38,0.36,0.23,0.07,0.30,0.35,0.30
0.83,0.53,0.55,0.87,0.79,0.71,0.91,0.30,0.52,0.41,0.40,0.51,0.72,0.36,1,0.60,0.49,0.09,0.49,0.54,0.83,0.38,0.26,0.76,0.76,0.23,0.80,0.50,0.19,0.50,0.40,0.44,0.33,1.00,0.80,0.43,0.84,0.82,1.00,0.74,0.15,0.72,0.98,0.63
0.59,0.34,0.32,0.63,0.57,0.53,0.53,0.11,0.49,0.32,0.25,0.22,0.62,0.27,0.60,1,0.30,0.04,0.35,0.50,0.57,0.22,0.18,0.57,0.58,0.16,0.49,0.22,0.19,0.36,0.24,0.31,0.19,0.60,0.61,0.28,0.63,0.58,0.61,0.49,0.03,0.52,0.58,0.53
0.46,0.26,0.30,0.51,0.48,0.50,0.44,0.57,0.35,0.42,0.15,0.16,0.34,0.16,0.49,0.30,1,0.04,0.27,0.37,0.47,0.41,0.10,0.41,0.32,0.33,0.37,0.39,0.11,0.28,0.36,0.25,0.44,0.49,0.41,0.37,0.51,0.54,0.49,0.33,0.18,0.49,0.50,0.32
0.17,0.22,0.24,0.17,0.18,0.13,0.20,0.18,0.06,0.02,0.26,0.48,0.17,0.01,0.09,0.04,0.04,1,0.05,0.08,0.12,0.10,0.01,0.25,0.12,0.03,0.17,0.09,0.04,0.28,0.16,0.21,0.03,0.09,0.17,0.07,0.16,0.13,0.09,0.13,-0.02,0.20,0.09,0.13
0.47,0.30,0.28,0.51,0.49,0.48,0.48,0.25,0.25,0.25,0.25,0.13,0.52,0.03,0.49,0.35,0.27,0.05,1,0.44,0.47,0.25,0.26,0.42,0.57,-0.02,0.50,0.25,0.09,0.28,0.24,0.35,0.25,0.49,0.54,0.31,0.47,0.43,0.50,0.35,0.02,0.48,0.50,0.43
0.63,0.40,0.40,0.58,0.54,0.86,0.51,0.27,0.42,0.26,0.32,0.24,0.61,0.06,0.54,0.50,0.37,0.08,0.44,1,0.53,0.37,0.23,0.67,0.53,0.21,0.50,0.36,0.13,0.37,0.26,0.31,0.24,0.54,0.54,0.41,0.60,0.60,0.54,0.49,0.07,0.49,0.54,0.43
0.79,0.56,0.55,0.94,0.93,0.66,0.80,0.36,0.48,0.28,0.43,0.45,0.65,0.34,0.83,0.57,0.47,0.12,0.47,0.53,1,0.41,0.26,0.75,0.70,0.16,0.68,0.51,0.21,0.54,0.48,0.54,0.23,0.83,0.89,0.39,0.72,0.83,0.84,0.63,0.06,0.72,0.84,0.90
0.46,0.51,0.51,0.44,0.43,0.39,0.37,0.48,0.17,0.22,0.39,0.20,0.34,0.11,0.38,0.22,0.41,0.10,0.25,0.37,0.41,1,0.09,0.44,0.31,0.32,0.37,0.34,-0.01,0.44,0.46,0.45,0.17,0.39,0.39,0.22,0.40,0.41,0.38,0.22,0.13,0.42,0.43,0.31
