1,0.51,0.59,0.20,0.07,0.19,N/A,0.78,0.48,0.42,0.78,0.36,0.56,0.35,0.48,0.15,0.37,0.41,0.25,N/A,0.05,-0.02,0.24,0.14,0.10,0.46,0.27,0.23,0.53,0.78,0.27,0.17,0.26,0.44,N/A,0.47,N/A,0.28,0.17,0.37,0.17,0.28,N/A,N/A,0.42,0.28,0.34,0.40,0.07,0.55,0.58,0.30,0.10,N/A,N/A,N/A,0.25,0.42,0.23,N/A,0.61,0.34,0.35,0.45,0.27,N/A,N/A,0.15,0.20,0.14,0.44,0.50,0.44
0.51,1,0.31,0.18,0.11,0.23,N/A,0.45,0.35,0.22,0.53,0.04,0.35,0.04,0.30,0.11,0.25,0.23,0.21,N/A,0.00,0.06,0.27,0.13,0.09,0.35,0.13,0.34,0.32,0.48,0.39,0.16,0.16,0.26,N/A,0.47,N/A,0.14,0.13,0.31,0.17,0.46,N/A,N/A,0.40,0.26,0.30,0.17,0.07,0.42,0.21,0.28,0.11,N/A,N/A,N/A,0.19,0.30,0.29,N/A,0.37,0.25,0.31,0.30,0.04,N/A,N/A,0.34,0.20,0.08,0.11,0.17,0.27
0.59,0.31,1,0.36,0.14,0.24,N/A,0.54,0.43,0.32,0.59,0.32,0.57,0.22,0.46,0.14,0.43,0.31,0.28,N/A,0.07,-0.01,0.13,0.00,0.02,0.33,0.25,0.16,0.58,0.57,0.18,0.08,0.27,0.47,N/A,0.34,N/A,0.17,0.09,0.41,0.26,0.21,N/A,N/A,0.21,0.12,0.32,0.23,0.12,0.40,0.42,0.19,0.07,N/A,N/A,N/A,0.21,0.30,0.15,N/A,0.58,0.40,0.12,0.40,0.29,N/A,N/A,0.11,0.11,0.21,0.35,0.47,0.28
0.20,0.18,0.36,1,-0.03,0.02,N/A,0.36,0.36,0.30,0.25,0.07,0.36,0.25,0.17,-0.03,0.27,0.30,0.11,N/A,-0.01,0.05,-0.00,0.04,-0.01,0.10,0.12,0.18,0.28,0.24,0.26,0.04,0.12,0.26,N/A,0.17,N/A,0.06,-0.06,0.10,0.60,0.07,N/A,N/A,0.11,0.03,0.06,0.10,0.05,0.25,0.37,0.05,-0.01,N/A,N/A,N/A,0.07,0.05,0.04,N/A,0.33,0.20,0.09,0.23,0.02,N/A,N/A,0.04,0.03,0.12,0.44,0.18,0.08
0.07,0.11,0.14,-0.03,1,0.07,N/A,0.14,0.03,0.05,0.24,0.12,0.06,0.03,0.05,0.01,0.04,0.06,0.05,N/A,0.00,0.31,0.01,0.09,-0.05,0.12,0.01,-0.04,0.04,0.20,0.12,0.10,0.01,0.06,N/A,-0.01,N/A,0.18,0.20,0.08,0.02,-0.00,N/A,N/A,0.21,0.19,0.14,0.13,0.11,0.12,0.09,0.11,-0.10,N/A,N/A,N/A,0.08,-0.04,-0.03,N/A,0.14,0.00,-0.06,0.09,0.06,N/A,N/A,0.04,0.06,0.04,0.06,0.05,0.22
0.19,0.23,0.24,0.02,0.07,1,N/A,0.20,0.12,-0.06,0.21,0.12,0.37,-0.00,0.13,0.05,0.14,-0.06,0.03,N/A,0.08,0.01,0.31,0.10,-0.00,0.14,0.08,0.04,0.24,0.23,0.33,0.16,0.07,0.15,N/A,0.06,N/A,0.12,0.17,0.12,0.07,0.22,N/A,N/A,0.19,-0.02,0.16,0.12,0.06,0.14,0.07,0.08,-0.08,N/A,N/A,N/A,0.10,0.09,0.35,N/A,0.12,0.05,0.01,0.11,0.09,N/A,N/A,0.47,0.21,0.13,0.02,0.15,0.06
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.78,0.45,0.54,0.36,0.14,0.20,N/A,1,0.70,0.42,0.73,0.34,0.51,0.23,0.58,0.14,0.61,0.42,0.27,N/A,0.04,0.06,0.24,0.15,0.11,0.47,0.41,0.27,0.59,0.76,0.21,0.18,0.45,0.62,N/A,0.44,N/A,0.33,0.22,0.35,0.44,0.27,N/A,N/A,0.46,0.34,0.41,0.35,0.13,0.67,0.52,0.37,0.16,N/A,N/A,N/A,0.29,0.38,0.23,N/A,0.60,0.45,0.37,0.61,0.21,N/A,N/A,0.19,0.24,0.17,0.53,0.49,0.42
0.48,0.35,0.43,0.36,0.03,0.12,N/A,0.70,1,0.29,0.46,0.22,0.46,0.20,0.75,-0.09,0.85,0.29,0.19,N/A,-0.05,0.02,0.11,0.09,-0.02,0.24,0.49,0.39,0.45,0.51,0.16,0.04,0.53,0.88,N/A,0.37,N/A,0.18,0.03,0.28,0.40,0.25,N/A,N/A,0.21,0.15,0.28,0.20,0.12,0.59,0.44,0.35,0.04,N/A,N/A,N/A,0.24,0.24,0.17,N/A,0.55,0.61,0.17,0.57,0.06,N/A,N/A,0.07,0.08,0.09,0.43,0.35,0.43
0.42,0.22,0.32,0.30,0.05,-0.06,N/A,0.42,0.29,1,0.43,0.20,0.25,0.36,0.31,-0.02,0.30,0.99,0.48,N/A,0.18,-0.03,0.07,0.16,0.01,0.20,0.24,0.17,0.40,0.41,0.09,0.13,0.23,0.31,N/A,0.21,N/A,0.13,0.11,0.33,0.27,0.25,N/A,N/A,0.23,0.13,0.10,0.17,0.15,0.35,0.41,0.27,-0.02,N/A,N/A,N/A,0.26,0.30,0.12,N/A,0.30,0.28,0.06,0.33,0.19,N/A,N/A,0.08,0.01,0.03,0.51,0.35,0.19
0.78,0.53,0.59,0.25,0.24,0.21,N/A,0.73,0.46,0.43,1,0.40,0.57,0.38,0.41,0.18,0.38,0.41,0.30,N/A,0.13,0.04,0.32,0.07,0.14,0.50,0.26,0.28,0.60,0.81,0.35,0.17,0.27,0.41,N/A,0.50,N/A,0.33,0.23,0.35,0.22,0.33,N/A,N/A,0.51,0.37,0.43,0.30,0.04,0.58,0.52,0.30,0.17,N/A,N/A,N/A,0.21,0.35,0.26,N/A,0.59,0.35,0.38,0.47,0.19,N/A,N/A,0.23,0.29,0.18,0.42,0.45,0.49
0.36,0.04,0.32,0.07,0.12,0.12,N/A,0.34,0.22,0.20,0.40,1,0.16,0.18,0.30,-0.03,0.30,0.20,0.27,N/A,0.08,0.05,0.06,-0.08,0.02,0.17,0.36,0.08,0.27,0.68,0.14,0.30,0.27,0.35,N/A,0.26,N/A,0.03,0.15,0.15,0.14,0.14,N/A,N/A,0.28,0.23,0.19,0.14,-0.05,0.32,0.31,0.02,0.02,N/A,N/A,N/A,0.06,0.00,0.08,N/A,0.37,0.13,0.12,0.46,0.07,N/A,N/A,0.08,0.07,0.35,0.24,0.32,0.29
