1,N/A,0.63,0.34,0.36,0.29,0.16,0.37,0.46,0.41,0.25,-0.03,0.67,0.46,0.56,0.18,0.43,0.75,0.33,0.49,0.32,0.08,0.28,0.20,0.31,0.22,0.48
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.63,N/A,1,0.46,0.27,0.41,0.17,0.44,0.47,0.53,0.34,0.11,0.41,0.45,0.47,0.21,0.46,0.67,0.36,0.49,0.23,0.29,0.36,0.21,0.28,0.37,0.53
0.34,N/A,0.46,1,0.34,0.72,0.26,0.81,0.47,0.76,0.69,0.14,0.19,0.36,0.38,0.34,0.46,0.29,0.37,0.53,0.34,0.30,0.74,0.37,0.45,0.48,0.51
0.36,N/A,0.27,0.34,1,0.37,0.08,0.36,0.30,0.31,0.51,0.09,0.36,0.18,0.34,0.20,0.29,0.26,0.21,0.33,0.96,0.06,0.41,0.05,0.25,0.19,0.31
0.29,N/A,0.41,0.72,0.37,1,0.20,0.83,0.30,0.69,0.85,0.12,0.09,0.33,0.40,0.28,0.28,0.26,0.66,0.34,0.35,0.28,0.69,0.34,0.40,0.44,0.34
0.16,N/A,0.17,0.26,0.08,0.20,1,0.22,0.02,0.29,0.16,0.14,0.04,0.16,0.05,0.04,-0.02,0.12,0.16,0.04,0.13,-0.07,0.18,0.18,0.06,0.22,0.02
0.37,N/A,0.44,0.81,0.36,0.83,0.22,1,0.38,0.77,0.76,0.15,0.16,0.32,0.37,0.33,0.34,0.29,0.51,0.39,0.37,0.27,0.73,0.38,0.45,0.48,0.39
0.46,N/A,0.47,0.47,0.30,0.30,0.02,0.38,1,0.37,0.27,0.00,0.49,0.27,0.53,0.23,0.97,0.44,0.08,0.93,0.28,0.23,0.49,0.32,0.20,0.27,0.93
0.41,N/A,0.53,0.76,0.31,0.69,0.29,0.77,0.37,1,0.61,0.13,0.18,0.39,0.39,0.29,0.34,0.39,0.44,0.40,0.33,0.18,0.62,0.33,0.46,0.41,0.39
